Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”,Name: “Table 1 of 1 on page 25 of 26”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,,,,,
,,,,,"Parks, Recreation and Cultural","Parks, Recreation and Cultural","Parks, Recreation and Cultural","Parks, Recreation and Cultural","Parks, Recreation and Cultural",,,,
The,"Parks,",Recreation,Recreation,and,Cultural,business,center,center,includes,City’s,"parks,","museums,",and
libraries.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,A separate fund accounts for the activities of the City’s two golf courses.,,
,,,,,,,,,,,,Percent,Percent
,,,,,FY2013 Adopted,FY2013 Adopted,,FY2014 Adopted,FY2014 Adopted,Dollar Change,Dollar Change,Change,Change
Expenditures,Expenditures,Expenditures,,,"$         10,413,693","$         10,413,693","$         10,499,764","$         10,499,764","$         10,499,764","$          86,071","$          86,071",1%,1%
,,,,,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,,,,
This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.,This budget category includes funds to maintain the newly opened Paradise Creek Nature Park.
,,,,Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,,
This,business,business,center,includes,the,departments,departments,of,Economic,"Development,","Development,",Permits,and
Inspections,Inspections,and,City,Planning,which,address,the,City’s,overall,"development,","development,",marketing,and
planning needs.,planning needs.,planning needs.,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s,Services provided include the enforcement of the Commonwealth of Virginia’s
