Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”,Name: “Table 1 of 1 on page 136 of 156”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,,,,,
,Authorized Positions Per Department,,,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Code Compliance,Full-Time Regular,,,,,,,,
,Code Compliance Director,1,,1,,1,,1,
,Chief Building Inspector,1,,1,,1,,1,
,Commercial/Senior Building Inspector,1,,1,,1,,1,
,Inspector I/II/III,6,,4,,4,,4,
,Senior Inspector,3,,3,,2,,2,
,Chief Plans Examiner,1,,1,,1,,1,
,Plans Examiner I/II,2,,1,,1,,1,
,Permit Technician I/II,2,,1,,1,,1,
,Senior Permit Technician,1,,1,,0,,0,
,Administrative Services Coordinator,1,,1,,1,,1,
,,19,,15,,13,,13,
,Part-Time Regular,,,,,,,,
,"Inspector I/II/III (1,040 hrs)",0,,0,,1,,1,
,,0,,0,,1,,1,
,On-Call,,,,,,,,
,Inspector I,"1,040",hrs,"1,040",hrs,0,hrs,0,hrs
Commissioner of the,Constitutional Officer*,,,,,,,,
Revenue,Commissioner of the Revenue,1,,1,,1,,1,
,Full-Time Regular*,,,,,,,,
,Chief Deputy Commissioner,1,,1,,1,,1,
,Business License Inspector,1,,1,,1,,1,
,Deputy IV,1,,1,,1,,1,
,Deputy III,3,,3,,3,,3,
,Deputy I/II,3,,3,,2,,2,
,Senior Auditor,1,,1,,1,,1,
,Business Tax Specialist,1,,1,,1,,1,
,Business Tax Field Representative,1,,0,,0,,0,
,,12,,11,,10,,10,
,On-Call,,,,,,,,
,Deputy I/II,0,hrs,0,hrs,"1,040",hrs,"1,040",hrs
* Positions approved and partially funded by the State.,* Positions approved and partially funded by the State.,,,,,,,,
Commonwealth's,Constitutional Officer*,,,,,,,,
Attorney,Commonwealth Attorney,1,,1,,1,,1,
,Full-Time Other*,,,,,,,,
,Deputy Commonwealth Attorney,1,,1,,1,,1,
,Attorney III,1,,1,,1,,1,
,Attorney I,2,,2,,2,,2,
,Paralegal,1,,1,,1,,1,
,Paralegal Assistant,1,,1,,1,,1,
,Secretary,1,,1,,1,,1,
,Administrative Assistant II,1,,1,,1,,1,
,,8,,8,,8,,8,
*Positions approved and partially funded by the State.,*Positions approved and partially funded by the State.,,,,,,,,
_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________
,Page G-5,,,,,,,,
