Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,
,,,,,,,,
Board of Supervisors,Board of Supervisors,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,
"The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor","The Board of Supervisors is composed of five County residents, elected by District, and each supervisor"
serves a four-year term.,"The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and","The Board is responsible for legislative policy, adopting County ordinances and"
"budgets, and for hiring both the County Administrator and County Attorney.","budgets, and for hiring both the County Administrator and County Attorney.","budgets, and for hiring both the County Administrator and County Attorney.","budgets, and for hiring both the County Administrator and County Attorney.","budgets, and for hiring both the County Administrator and County Attorney.","budgets, and for hiring both the County Administrator and County Attorney.",,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,FY 10,,FY 11,,FY 12,
,,,Adopted,,Adopted,,Plan,
,Personnel,$,"118,284",$,"111,928",$,"114,123",
,Operating,,"109,925",,"75,997",,"75,997",
,Total,$,"228,209",$,"187,925",$,"190,120",
PERSONNEL,,,,,,,,
Full-time Personnel,Full-time Personnel,,1,,1,,1,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,,FY 09,FY 09,FY 10,,FY 11,FY 12
,,,Actual,Actual,Projected,Adopted,,Plan
# recipients for Board of Supervisors,# recipients for Board of Supervisors,# recipients for Board of Supervisors,,,,,,
,Information E-mail List,Information E-mail List,,N/A,210,,250,280
BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,
"This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the","This budget reflects a reduction in professional services, which had been used in FY10 in part for the"
search of a new County Administrator.,search of a new County Administrator.,search of a new County Administrator.,,,,,,
,,,Page C-3,Page C-3,,,,
