Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”,Name: “Table 1 of 1 on page 134 of 156”
Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Solid Waste Management,F/T,6,6,6,6,7,7,7,7,6,6
,P/T,2,2,3,3,2,2,2,2,1,1
Stormwater,F/T,0,0,0,0,0,9,8.5,6.5,6.5,6.5
,P/T,0,0,0,0,0,0,0,0,0,0
Training and Quality,F/T,2,2,2,3,3,3,3,3,3,3
Performance,P/T,2,2,2,1,1,1,1,1,0,0
Treasurer,F/T,13,13,13,13,13,13,13,13,12,12
,P/T,0,0,0,0,0,0,0,0,0,0
Total General Fund,F/T,474.0,480.0,492.5,512.5,548.5,586.5,584.0,563.0,539.0,539.0
,P/T,65,68,70,70,53,49,49,43,30,30
Colonial Community Corrections F/T,Colonial Community Corrections F/T,11,12,13,13,13,13,11,11,12,12
,P/T,3,5,5,5,5,5,4,4,3,3
Community Development,F/T,8.5,8.5,8.5,8.5,9.5,9.5,9.5,8.5,8.5,8.5
,P/T,0,1,1,1,0,0,0,1,1,1
JCSA,F/T,76,78,81,85,87,88,90,89,85,85
,P/T,0,0,1,1,2,2,2,2,2,2
Social Services,F/T,50.5,52.5,52.5,53.5,53.5,57.5,57.5,52.5,52.5,52.5
,P/T,1,1,1,1,1,1,1,1,3,3
Special Projects/Grants,F/T,0,0,3,3,1,2,3,2,0,0
,P/T,0,0,0,0,0,0,1,1,1,1
Grand Total All Funds,F/T,620.0,631.0,650.5,675.5,712.5,756.5,755.0,726.0,697.0,697.0
,P/T,69.0,75.0,78.0,78.0,61.0,57.0,57.0,52.0,40.0,40.0
A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,,,,,,,
* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,,,,,,,
_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________
,,,,,Page G - 3,,,,,,
