Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”,Name: “Table 1 of 1 on page 144 of 156”
Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144
,,,,,,,,,
,Authorized Positions Per Department,,,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Planning and,Full-Time Regular,,,,,,,,
Zoning,Planning Director,1,,1,,1,,1,
,Principal Planner/Zoning Administrator,1,,0,,0,,0,
,Principal Planner,1,,1,,1,,1,
,Zoning Administrator,1,,1,,1,,1,
,Zoning Officer I/II,2,,1,,1,,1,
,Planner/Senior Planner I/Senior Planner II,10,,10,,8,,8,
,Development Management Assistant*,1.5,,1.5,,1.5,,1.5,
,Proffer Administrator,1,,1,,1,,1,
,Administrative Services Coordinator,1,,1,,1,,1,
,,19.5,,17.5,,15.5,,15.5,
,Part-Time Regular,,,,,,,,
,"Principal Planner (1,040 hrs)",0,,1,,1,,1,
,,0,,1,,1,,1,
,Part-Time Temporary,,,,,,,,
,Intern,"2,080 hrs","2,080 hrs","2,080 hrs","2,080 hrs",0 hrs,0 hrs,0 hrs,0 hrs
* Position shared between Development Management and Planning.,* Position shared between Development Management and Planning.,,,,,,,,
Police Department,Full-Time Regular,,,,,,,,
,Police Chief,1,,1,,1,,1,
,Deputy Police Chief,1,,1,,1,,1,
,Police Major,2,,2,,2,,2,
,Senior Police Investigator,2,,2,,2,,2,
,Police Lieutenant,6,,6,,6,,6,
,Police Sergeant,7,,7,,7,,7,
,Property Control Officer,1,,1,,0,,0,
,Police Officer I/II/Senior/Master,73,,73,,74,,74,
,Grant Administrator,1,,1,,1,,1,
,Senior Administrative Services Coordinator,1,,1,,1,,1,
,Crime Analyst,0,,1,,1,,1,
,Police Records Clerk,2,,2,,2,,2,
,,97,,98,,98,,98,
,On-Call,,,,,,,,
,Police Officer,600,hrs,600,hrs,300,hrs,300,hrs
,Police Administrative Assistant,"1,040",hrs,"1,040",hrs,"2,340",hrs,"2,340",hrs
,,"1,640",hrs,"1,640",hrs,"2,640",hrs,"2,640",hrs
Purchasing,Full-Time Regular,,,,,,,,
,Purchasing/Management Services Director,1,,1,,1,,1,
,Senior Buyer,1,,2,,2,,2,
,Buyer II,1,,0,,0,,0,
,,3,,3,,3,,3,
_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________
,Page G-13,,,,,,,,
