Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”,Name: “Table 1 of 1 on page 143 of 156”
Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143
,,,,,,,,,
,Authorized Positions Per Department,,,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Parks and Recreation,Full-Time Regular,,,,,,,,
,Community Centers Administrator,1,,1,,1,,1,
,Customer Assistant,2,,1,,1,,1,
,Senior Customer Assistant,5,,5,,4,,4,
,Senior Fitness Trainer,1,,1,,1,,1,
,Senior Lifeguard,2,,2,,2,,2,
,Park Attendant II,1,,1,,1,,1,
,Park Ranger,1,,1,,1,,1,
,Park Supervisor,1,,1,,1,,1,
,"Planner, Park and Greenway",1,,0,,0,,0,
,Recreation Operations Coordinator,3,,3,,3,,3,
,Recreation Program Coordinator,3,,3,,3,,3,
,Secretary,1,,1,,1,,1,
,Superintendent of Parks,1,,1,,1,,1,
,Account Clerk,1,,1,,1,,1,
,Senior Account Clerk,1,,1,,0,,0,
,Senior Administrative Services Coordinator,1,,1,,1,,1,
,Budget Management Specialist,1,,1,,1,,1,
,Communications Specialist II,1,,1,,1,,1,
,Information Systems Technician,1,,1,,1,,1,
,Parks and Recreation Deputy Director,1,,1,,0,,0,
,Parks and Recreation Director,1,,1,,1,,1,
,Resource Development Administrator,1,,1,,1,,1,
,Human Services Coordinator,1,,1,,1,,1,
,Senior Recreation Leader,10,,9,,10,,10,
,Recreation Operations Coordinator,2,,3,,2,,2,
,Recreation Program Coordinator,7,,8,,6,,6,
,Recreation Superintendent,1,,1,,1,,1,
,Secretary,1,,1,,1,,1,
,,54,,53,,48,,48,
,Part-Time Regular,,,,,,,,
,"Customer Assistant (5,044 hrs)",11,,8,,6,,6,
,Fitness Attendant/Fitness Trainer I/II,,,,,,,,
,"(4,940 hrs)",6,,5,,4,,4,
,"Lifeguard I/II/Senior Lifeguard (3,120)",5,,5,,2,,2,
,"Park Attendant II (3,120)",2,,2,,2,,2,
,"Park Supervisor (1,560 hrs)",1,,1,,1,,1,
,"Senior Park Attendant (1,560 hrs)",1,,0,,0,,0,
,"Senior Office Assistant (1,560 hrs)",1,,1,,1,,1,
,"Senior Recreation Leader (1,600 hrs)",2,,1,,0,,0,
,,29,,23,,16,,16,
,Part-Time Temporary,,,,,,,,
,Bus Driver,"1,331",hrs,"1,331",hrs,"1,331",hrs,"1,331",hrs
,Customer Assistant,"1,348",hrs,0,hrs,"1,040",hrs,"1,040",hrs
,Fitness Attendant,624,hrs,0,hrs,220,hrs,220,hrs
,Instructor I/II/III,"11,224",hrs,"11,224",hrs,"11,224",hrs,"11,224",hrs
,Lifeguard I/II/Senior,"9,683",hrs,"8,483",hrs,"12,071",hrs,"12,071",hrs
,Park Attendant I/II,"20,159",hrs,"21,628",hrs,"21,628",hrs,"21,628",hrs
,Park Supervisor,920,hrs,920,hrs,920,hrs,920,hrs
,Park Ranger,"1,040",hrs,"1,040",hrs,"1,040",hrs,"1,040",hrs
,Recreation Field Supervisor,200,hrs,200,hrs,0,hrs,0,hrs
,Recreation Leader I,"29,922",hrs,"28,232",hrs,"29,847",hrs,"29,847",hrs
,Recreation Leader II,"13,576",hrs,"13,576",hrs,"13,576",hrs,"13,576",hrs
,Recreation Program Coordinator (Inclusion),0,hrs,0,hrs,662,hrs,662,hrs
,Senior Recreation Leader,"1,654",hrs,"1,654",hrs,"1,654",hrs,"1,654",hrs
,Recreation Leader Therapeutic,"8,745",hrs,"8,745",hrs,"8,745",hrs,"8,745",hrs
,,"100,426 hrs","100,426 hrs","97,033 hrs","97,033 hrs","103,958 hrs","103,958 hrs","103,958 hrs","103,958 hrs"
_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________
,Page G-12,,,,,,,,
