Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”,Name: “Table 1 of 1 on page 107 of 156”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,,,,,
,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,
,,,,,,,,,,,Six Year
CAPITAL INVESTMENTS,FY 2011,FY 2011,FY 2012,FY 2012,,FY 2013,,FY 2014,,FY 2015,TOTAL
Schools,"$4,895,737","$4,895,737",$,"533,748",$,"8,257,569",$,"8,366,484",$,"8,956,069","$31,009,607"
Other County,,"733,840",,"6,916,312",,"2,941,167",,"2,994,000",,"2,191,000","15,776,319"
,"$5,629,577","$5,629,577","$7,450,060","$7,450,060","$11,198,736","$11,198,736","$11,360,484","$11,360,484","$11,147,069","$11,147,069","$46,785,926"
FUNDING SOURCES,,,,,,,,,,,
Recurring Revenues - General Fund,$,"750,000",$,"750,000",$,"3,904,710",$,"4,910,178",$,"4,800,000","$15,114,888"
Investment Income,,"250,000",,"400,060",,"400,000",,"500,000",,"600,000","2,150,060"
"Other - Proffers, Reallocations",,-,,-,,"492,102",,"588,240",,"789,869","1,870,211"
,,"1,000,000",,"1,150,060",,"4,796,812",,"5,998,418",,"6,189,869","19,135,159"
Borrowing - Schools,,"4,629,577",,-,,"6,401,924",,"5,362,066",,"4,957,200","21,350,767"
Borrowing - Other County,,,,"6,300,000",,,,,,,"6,300,000"
,,"4,629,577",,"6,300,000",,"6,401,924",,"5,362,066",,"4,957,200","27,650,767"
,"$5,629,577","$5,629,577","$7,450,060","$7,450,060","$11,198,736","$11,198,736","$11,360,484","$11,360,484","$11,147,069","$11,147,069","$46,785,926"
BUDGET COMMENTS,,,,,,,,,,,
