Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”,Name: “Table 1 of 1 on page 148 of 156”
Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148
,,,,,,,,,
,,,General,Fund Revenues by Source (In Percent),Fund Revenues by Source (In Percent),Fund Revenues by Source (In Percent),Fund Revenues by Source (In Percent),,
,,,,,Use of,Charges,,,
,General,Other,"Licenses,",Fines,Money,for,,,
Fiscal,Property,Local,"Permits,",and,and,Current,Inter-,,
Year,Taxes,Taxes,Fees,Forfeitures,Property,Services,Government,Miscellaneous,Total
2003,59.8,13.8,5.8,0.2,0.6,3.0,16.6,0.2,100.00
2004,60.3,13.4,6.3,0.3,0.3,3.1,16.2,0.1,100.00
2005,59.4,14.5,6.2,0.2,0.5,2.8,16.3,0.1,100.00
2006,60.1,14.4,6.3,0.2,0.7,2.6,15.5,0.2,100.00
2007,61.6,13.5,5.9,0.2,1.1,2.4,15.2,0.1,100.00
2008,63.1,12.2,5.0,0.2,1.1,3.1,15.0,0.3,100.00
2009,65.0,11.5,4.5,0.2,0.6,3.0,14.9,0.3,100.00
2010 (Est.),66.3,11.3,4.0,0.2,0.3,2.8,15.0,0.1,100.00
2011 (Est.),66.5,11.4,3.9,0.2,0.2,3.1,14.6,0.1,100.00
2012 (Est.),66.5,11.4,4.0,0.2,0.2,3.1,14.5,0.1,100.00
,,,,,Page G-17,,,,
