Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”,Name: “Table 1 of 1 on page 38 of 156”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees",,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,,,
,,,,,,FY 10,,,FY 10,,FY 11,,,,FY 12,
,,,,,,Adopted,,Projected,Projected,,Adopted,Adopted,,,Plan,
Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,,$,"5,700,000",$,"5,000,000","5,000,000",$,"4,750,000","4,750,000",$,,"4,850,000","4,850,000"
Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,,,"125,000",,,"130,000",,"130,000","130,000",,,"130,000","130,000"
Business License Penalty,Business License Penalty,Business License Penalty,Business License Penalty,,,"130,000",,,"140,000",,"135,000","135,000",,,"135,000","135,000"
Business License Interest,Business License Interest,Business License Interest,Business License Interest,,,"30,000",,,"30,000",,,"30,000",,,"30,000","30,000"
