Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”,Name: “Table 1 of 1 on page 61 of 156”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,
,,,,,,,
Commissioner of the Revenue,Commissioner of the Revenue,,,,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,
The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens,The Commissioner of the Revenue is an elected Constitutional Officer who is responsible to the citizens
"of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well","of the County for the assessment of personal property, public utilities, and bank franchise taxes, as well"
as the processing of business licenses.,as the processing of business licenses.,The Commissioner also assists in the real estate assessments,The Commissioner also assists in the real estate assessments,The Commissioner also assists in the real estate assessments,The Commissioner also assists in the real estate assessments,The Commissioner also assists in the real estate assessments,The Commissioner also assists in the real estate assessments
"process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax","process by handling land transfers, updating records, taking applications from those who qualify for tax"
"relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.","relief for the elderly and handicapped, and meeting other State requirements.",The office includes a Tax
Compliance Unit that ensures that all businesses are properly registered.,Compliance Unit that ensures that all businesses are properly registered.,Compliance Unit that ensures that all businesses are properly registered.,Compliance Unit that ensures that all businesses are properly registered.,Compliance Unit that ensures that all businesses are properly registered.,Compliance Unit that ensures that all businesses are properly registered.,,
BUDGET SUMMARY,,,,,,,
,,FY 10,,FY 11,,,FY 12
,,Adopted,,Adopted,Adopted,,Plan
Personnel,$,"651,438",$,"646,212","646,212",$,"653,171"
Operating,,"36,918",,"37,810","37,810",,"37,810"
Local Aid to State Government,,"7,542",,"9,050","9,050",,"9,050"
Total,$,"695,898",$,"693,072","693,072",$,"700,031"
PERSONNEL,,,,,,,
Full-time Personnel,,12,,,11,,11
PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,FY 09,,FY 10,,FY 11,FY 12
,,Actual,,Projected,Adopted,Adopted,Plan
State Income Tax Returns,,,,,,,
Processed,,"7,247",,"8,200",,"7,000","7,000"
Business Licenses,,"6,446",,"6,000",,"6,200","6,200"
Personal Property Assessments,,"86,963",,"100,000",,"90,000","95,000"
BUDGET COMMENTS,,,,,,,
The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,The State has continued to diminish its support of this State Constitutional office.,One locally funded
full-time position has been eliminated in recognition of this reduction.,full-time position has been eliminated in recognition of this reduction.,full-time position has been eliminated in recognition of this reduction.,full-time position has been eliminated in recognition of this reduction.,full-time position has been eliminated in recognition of this reduction.,full-time position has been eliminated in recognition of this reduction.,Temporary hours have been,Temporary hours have been
provided for peak billing periods.,,,,,,,
MEMO,,,,,,,
Net County Funding:,,,,,,,
,,FY 10,,FY 11,FY 11,,FY 12
,,Adopted,,Adopted,Adopted,,Plan
Total Budget,$,"695,898",$,"693,072","693,072",$,"700,031"
State/Other Revenue,,"(184,213)",,"(158,019)","(158,019)",,"(158,019)"
Net County Funding,$,"511,685",$,"535,053","535,053",$,"542,012"
,,Page C-16,Page C-16,,,,
