Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,
,,,,,,,,
County Administration,County Administration,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,
The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the,The County Administrator is the Chief Administrative Officer of the County. He is appointed by the
Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is,Board of Supervisors and is responsible to the Board for the execution of policies it establishes. He is
"expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and","expected to handle the daily administrative operations of the County, as well as recommend service and"
"policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and","policy improvements, develop an annual budget, generally guide the work of County employees, and"
ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County,ensure that the affairs of the County are conducted in an effective and responsible manner. The County
Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,Administrator also acts as Clerk to the Board and oversees the initiative to assist small businesses.,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,FY 10,,FY 11,,FY 12,
,,,Adopted,,Adopted,,Plan,
,Personnel,$,"366,209",$,"385,914",$,"386,944",
,Operating,,"20,962",,"16,987",,"16,987",
,Total,$,"387,171",$,"402,901",$,"403,931",
PERSONNEL,,,,,,,,
Full-time Personnel,Full-time Personnel,,2.5,,2.5,,2.5,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,,FY 09,FY 09,FY 10,,FY 11,FY 12
,,,Actual,Actual,Projected,Adopted,,Plan
# of internal departmental audits,# of internal departmental audits,# of internal departmental audits,,,,,,
conducted to ensure fees and charges are,conducted to ensure fees and charges are,conducted to ensure fees and charges are,,3,3,,3,3
appropriate and cost effective,appropriate and cost effective,appropriate and cost effective,,,,,,
# of small businesses assisted through the,# of small businesses assisted through the,# of small businesses assisted through the,,,,,,
County permitting and licensing process,County permitting and licensing process,County permitting and licensing process,,22,8,,12,12
BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,
This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community,This budget includes the transfer of the Purchase of Development Rights program from the Community
