Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”
Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Environmental Services,F/T,9,10,11,13,15,15,15,14,12,12
,P/T,0,0,0,0,0,0,0,0,0,0
Facilities Maintenance,F/T,20,20,20,19,18,19,19,18,17,17
,P/T,11,11,11,11,6,6,6,6,6,6
Financial and,F/T,7,7,7,7,7,7,7,7,7,7
Management Services,P/T,0,0,0,0,0,0,0,0,0,0
Fire,F/T,71,74,77,77,80,83,86,86,86,86
,P/T,0,0,0,0,0,0,0,0,0,0
Fleet Maintenance,F/T,6,6,6,8,8,8,8,7,7,7
,P/T,0,0,0,0,0,0,0,0,0,0
General Registrar,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,1,1,1,1,1,1,1,1,1,1
General Services,F/T,,,2.5,4.5,6.5,6.5,6.5,6.5,5.5,5.5
,P/T,,,0,0,0,0,0,0,0,0
Grounds Maintenance,F/T,11,11,15,13,16,21,21,20,21,21
,P/T,0,1,1,1,1,1,1,1,1,1
Human Resources,F/T,5,5,5,5,5,5,5,4,4,4
,P/T,0,0,0,0,0,0,0,1,0,0
Information Resources,F/T,19,19,19,20,20,21,21,21,20,20
Management,P/T,1,1,1,1,1,1,1,0,0,0
Mosquito Control,F/T,1,1,1,1,1,1,1,0,0,0
,P/T,0,0,0,0,0,0,0,0,0,0
Neighborhood Connections,F/T,3.5,3,3,3,4,4,4,2,0,0
,P/T,0,1,1,1,1,1,1,1,0,0
Parks and Recreation,F/T,42,43,43,45,52,56,54,53,48,48
,P/T,35,35,36,37,29,29,29,23,16,16
Planning and Zoning,F/T,14.5,15.5,16.5,17.5,17.5,19.5,19.5,17.5,15.5,15.5
,P/T,1,1,1,2,2,0,0,1,1,1
Police,F/T,72,73,74,78,87,94,97,98,98,98
,P/T,0,0,0,0,0,0,0,0,0,0
Purchasing,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,0,0,0,0,0,0,0,0,0,0
Real Estate Assessments,F/T,11,11,11,11,12,13,13,11,10,10
,P/T,0,0,0,0,0,0,0,0,0,0
Satellite Services Office,F/T,2,2,2,2,2,3,3,3,3,3
,P/T,2,2,2,2,2,2,2,1,1,1
Sheriff,F/T,18,18,18,18,18,18,18,18,16,16
,P/T,0,0,0,0,0,0,0,0,0,0
_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________
,,,,,Page G - 2,,,,,,
