Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”,Name: “Table 1 of 1 on page 146 of 156”
Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146
,,,,,,,,,
,Authorized Positions Per Department,,,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Solid Waste,Full-Time Regular,,,,,,,,
Management,Solid Waste Superintendent,1,,1,,1,,1,
,Solid Waste Assistant,1,,1,,1,,1,
,Environmental Coordinator,1,,1,,1,,1,
,Convenience Center Attendant I,2,,2,,1,,1,
,Convenience Center Attendant II,2,,2,,2,,2,
,,7,,7,,6,,6,
,Part-Time Regular,,,,,,,,
,"Senior Office Assistant (1,040 hrs)",1,,1,,0,,0,
,"Convenience Center Attendant I (2,080 hrs)",1,,1,,1,,1,
,,2,,2,,1,,1,
,On-Call,,,,,,,,
,Convenience Center Attendant I,720 hrs,720 hrs,720 hrs,720 hrs,"1,618 hrs","1,618 hrs","1,618 hrs","1,618 hrs"
Stormwater,Full-Time Regular,,,,,,,,
,Stormwater Director,1,,1,,1,,1,
,Civil Engineer/Senior*,1.5,,1.5,,1.5,,1.5,
,Stormwater Inspector I/II/Senior,4,,3,,2,,2,
,Stormwater Assistant,1,,1,,1,,1,
,Stormwater Specialist,0,,0,,1,,1,
,Secretary,1,,0,,0,,0,
,,8.5,,6.5,,6.5,,6.5,
,Part-time Temporary,,,,,,,,
,Intern,"2,000",hrs,"2,000",hrs,0,hrs,0,hrs
* One position shared between General Services and Stormwater.,* One position shared between General Services and Stormwater.,,,,,,,,
Training and Quality,Full-Time Regular,,,,,,,,
Performance,Human Resource Coordinator,1,,1,,1,,1,
,Human Resource Assistant,1,,1,,1,,1,
,Human Resource Specialist I/II,1,,1,,1,,1,
,,3,,3,,3,,3,
,Part-Time Regular,,,,,,,,
,"Senior Human Resource Specialist (1,560 hrs)",1,,1,,0,,0,
Treasurer,Constitutional Officer*,,,,,,,,
,Treasurer,1,,1,,1,,1,
,Full-Time Regular,,,,,,,,
,Senior Accounting Technician*,1,,1,,1,,1,
,Accounting Technician*,4,,4,,4,,4,
,Assistant Treasurer*,1,,1,,1,,1,
,Business Tax Field Representative,1,,1,,1,,1,
,Business Tax Specialist,1,,1,,1,,1,
,Customer Service Representative I/II*,3,,3,,2,,2,
,Senior Customer Service Representative*,1,,1,,1,,1,
,,12,,12,,11,,11,
,On-Call*,,,,,,,,
,Customer Service Representative I/II,150 hrs,150 hrs,0 hrs,0 hrs,"1,040 hrs","1,040 hrs","1,040 hrs","1,040 hrs"
* Positions approved and partially funded by the State.,* Positions approved and partially funded by the State.,,,,,,,,
_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________,_________________________________________________________________________________________________________
,Page G-15,,,,,,,,
