Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”,Name: “Table 1 of 1 on page 6 of 28”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,,,,,,
,,,,,,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,,,,,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,,,,,,,,,"629 East Main Street,","629 East Main Street,","629 East Main Street,"
,,,,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,,,,,,
,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark reservoirs and intakes on associated map.","If applicable, mark reservoirs and intakes on associated map.","If applicable, mark reservoirs and intakes on associated map.",,,,,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),,,,,,,,,,,
