Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Community Water Systems: Disaggregated Use,Community Water Systems: Disaggregated Use,Community Water Systems: Disaggregated Use,Community Water Systems: Disaggregated Use,Community Water Systems: Disaggregated Use,,,,,,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and","Reference sources and note any assumptions regarding calculatIif ounns.able to find data or data not applicable, note accordingly in the Notes/Comments Column and",
highlight applicable cells.,highlight applicable cells.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,,,,,,,,,,,,,,,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE):,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE):,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE):,DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),,,,,,,,,,,
,,,,,,Commercial,,,,,USAGE CATEGORIES:,USAGE CATEGORIES:,,,,,,,,Notes
YEAR: 2007,YEAR: 2007,,,,Commercial,Institutional,,,,,,,,,,,,Sales to Other CWS's:,Sales to Other CWS's:,or
,,,,,,,,,,,,,,,,,,,,Comments
,,,,,Institutional,Light,,,,,,,,,Unaccounted,Unaccounted,,,,
,,,,,Light,Industrial,Heavy,Heavy,,,,,Production,Production,for,for,Amount,Amount,,(This may include
,,System Total,Residential,Residential,Industrial CIL,CIL,Industrial,Industrial,Military,Military,Other,Other,Processes,Processes,Losses,Losses,Sold,Sold,System,"references to maps, data"
PWSID,Water System Name,(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),Name,"sources, data gaps, etc.)"
Gloucester County Public Systems,Gloucester County Public Systems,,,,,,,,,,,,,,,,,,,
4073311,Gloucester County WTP,1.380,"649,676",0.650,"255,446",0.255,,0.000,,0.000,"57,246",0.057,"314,000",0.314,"104,000",0.104,,0.000,,
Gloucester County Private Systems,Gloucester County Private Systems,,,,,,,,,,,,,,,,,,,
4073735,Laurelwood Estates Trailer Park,0.010,"10,000",0.010,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
4073735,R&L Trailer Park,0.003,"3,000",0.003,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
4073800,Waterview Mobile Home Park,0.008,"8,000",0.008,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
Hampton,,,,,,,,,,,,,,,,,,,,
3650150,Fort Monroe,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,"Fort Monroe, Air Force"
