Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”,Name: “Table 1 of 1 on page 15 of 28”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,,,,,,,,,
,,,,,,,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,,,,,Office of Water Supply Planning,Office of Water Supply Planning,
,,,,,,,,,,,,,,,,,629 East Main Street,
,,,,,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,,,,,
,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,
Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.",,,
Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,,,,,,,,,,,,,
Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Watera:nnual average and average monthly water use (9 VAC 25-780-80 B4),,,,,,,,,,
,PWSID #3700500,PWSID #3700500,,,PWSID #3830850,,PWSID #3199380,PWSID #3199380,,,PWSID #3095317,,,PWSID #3095490,,,PWSID #3095528,
,Newport News Waterworks,Newport News Waterworks,Newport News Waterworks,,City of Williamsburg,,Lightfoot & Skimino Hills,Lightfoot & Skimino Hills,Lightfoot & Skimino Hills,,Glenwood Acres-JCSA,,,Central System-JCSA,,,Kings Village - JCSA,
,Source GW/SW,Source GW/SW,,,Source GW/SW,,,Source GW,,,Source GW,,,Source GW,,,Source GW,
,,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average
YEAR,Monthly Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly
2007,(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD)
January,"1,394,680,000",1394.68,44.990,"73,088,000",73.09,2.358,,0.00,0.000,"174,957",0.17,0.006,"110,763,899",110.76,3.573,"310,420",0.31,0.010
February,"1,326,500,000",1326.50,47.375,"72,399,000",72.40,2.586,"15,906,904",15.91,0.270,"165,383",0.17,0.006,"103,284,552",103.28,3.689,"234,274",0.23,0.008
March,"1,474,530,000",1474.53,47.565,"90,843,000",90.84,2.930,,0.00,0.000,"157,529",0.16,0.005,"117,246,247",117.25,3.782,"257,237",0.26,0.008
April,"1,480,160,000",1480.16,49.339,"100,666,000",100.67,3.356,"14,735,606",14.74,0.242,"168,524",0.17,0.006,"142,652,220",142.65,4.755,"276,162",0.28,0.009
May,"1,665,240,000",1665.24,53.717,"105,823,000",105.82,3.414,,0.00,0.000,"203,082",0.20,0.007,"171,062,030",171.06,5.518,"366,370",0.37,0.012
June,"1,761,310,000",1761.31,58.710,"120,391,000",120.39,4.013,"24,263,894",24.26,0.398,"207,570",0.21,0.007,"193,907,550",193.91,6.464,"357,918",0.36,0.012
July,"1,945,880,000",1945.88,62.770,"132,889,000",132.89,4.287,,0.00,0.000,"214,751",0.21,0.007,"198,029,240",198.03,6.388,"333,758",0.33,0.011
August,"1,777,630,000",1777.63,57.343,"130,256,000",130.26,4.202,"26,115,446",26.12,0.421,"190,815",0.19,0.006,"183,459,767",183.46,5.918,"321,715",0.32,0.010
September,"1,672,270,000",1672.27,55.742,"115,027,000",115.03,3.834,,0.00,0.000,"227,990",0.23,0.008,"189,036,630",189.04,6.301,"419,179",0.42,0.014
October,"1,662,360,000",1662.36,53.625,"111,008,000",111.01,3.581,"22,252,995",22.25,0.365,"217,548",0.22,0.007,"182,514,763",182.51,5.888,"343,930",0.34,0.011
November,"1,367,290,000",1367.29,45.576,"87,332,000",87.33,2.911,,0.00,0.000,"167,178",0.17,0.006,"132,286,110",132.29,4.410,"274,516",0.27,0.009
December,"1,315,300,000",1315.30,42.429,"79,427,000",79.43,2.562,"16,591,496",16.59,0.272,"185,878",0.19,0.006,"112,869,419",112.87,3.641,"273,170",0.27,0.009
Total Annual,,,,,,,,,,,,,,,,,,
(MG),,18843.15,,,1219.15,,,119.87,,,2.28,,,1837.11,,,3.77,
Average Monthly,,,,,,,,,,,,,,,,,,
(MG/Mo),,1570.26,,,101.60,,,9.99,,,0.19,,,153.09,,,0.31,
Average,,,,,,,,,,,,,,,,,,
Daily,,,,,,,,,,,,,,,,,,
(MGD),,51.625,,,3.340,,,0.328,,,0.006,,,5.033,,,0.010,
NOTES or,,,,,,,,,,,,,,,,,,
,,,,Monthly data is for raw water.,Monthly data is for raw water.,,Based on bi-monthly billing records plus 7.5% UAW,Based on bi-monthly billing records plus 7.5% UAW,Based on bi-monthly billing records plus 7.5% UAW,,,,Incuded Stonehouse with the Central System,Incuded Stonehouse with the Central System,Incuded Stonehouse with the Central System,,,
COMMENTS:,,,,,,,,,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,
