Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”,Name: “Table 1 of 1 on page 17 of 28”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,,,,,,
,,,,,,,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,,,,,,,629 East Main Street,629 East Main Street
,,,,,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,,
,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
,PWSID #,,,PWSID #4073510,,,PWSID #4073735,,PWSID #4073800,PWSID #4073800,,,,,
,,,,,,,,,,,,,Locality or,,
Villages at Powhatan,Villages at Powhatan,,Laurelwood Estates Trailer Park,Laurelwood Estates Trailer Park,Laurelwood Estates Trailer Park,,R&L Trailer Park,,Waterview Mobile Home Park,Waterview Mobile Home Park,Waterview Mobile Home Park,,,,
,,,,,,,,,,,,Locality or,Region Total,,
,Source GW,,,Source GW,,,Source GW,,,Source GW,,Region Total,Average,,
,,,,,,,,,,,,Water Use,Monthly,,
Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,,,,
,,,,,,,,,,,,(MG/Mo),by Month,,
Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,,,,
,,,,,,,,,,,,,(MGD),,
(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),,,,
0,0.00,0.000,"296,790",0.30,0.010,"50,400",0.05,0.002,"205,440",0.21,0.007,"1,620.69",296880.27,,
0,0.00,0.000,"295,680",0.30,0.011,"75,488",0.08,0.003,"174,580",0.17,0.006,"1,558.98",295772.33,,
0,0.00,0.000,"330,305",0.33,0.011,"81,189",0.08,0.003,"198,710",0.20,0.006,"1,726.21",330400.11,,
0,0.00,0.000,"341,370",0.34,0.011,"74,850",0.07,0.002,"143,790",0.14,0.005,"1,783.03",341469.49,,
0,0.00,0.000,"345,278",0.35,0.011,"81,468",0.08,0.003,"223,076",0.22,0.007,"1,995.52",345390.47,,
"165,200",0.17,0.006,"330,000",0.33,0.011,"112,860",0.11,0.004,"309,030",0.31,0.010,"2,154.81",330120.76,,
"103,700",0.10,0.003,"335,668",0.34,0.011,"105,617",0.11,0.003,"347,789",0.35,0.011,"2,339.46",335800.16,,
"143,000",0.14,0.005,"306,683",0.31,0.010,"87,141",0.09,0.003,"350,951",0.35,0.011,"2,158.15",306787.93,,
"275,300",0.28,0.009,"252,870",0.25,0.008,"79,830",0.08,0.003,"363,000",0.36,0.012,"2,012.62",252967.82,,
"270,000",0.27,0.009,"248,000",0.25,0.008,"71,393",0.07,0.002,"356,655",0.36,0.012,"2,013.77",248095.01,,
"248,900",0.25,0.008,"287,580",0.29,0.010,"72,000",0.07,0.002,"187,650",0.19,0.006,"1,629.99",287672.85,,
"213,800",0.21,0.007,"347,634",0.35,0.011,"75,082",0.08,0.002,"208,692",0.21,0.007,"1,570.40",347726.05,,
,1.42,,,3.72,,,0.97,,,3.07,,22563.62,,,
,0.12,,,0.31,,,0.08,,,0.26,,1880.30,,,
,0.007,,,0.010,,,0.003,,,0.008,,61.818,,,
,,,,,,,,,16,,,,,,
