Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”,Name: “Table 1 of 1 on page 21 of 28”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,
,,,"Non-Agricultural, Self-Supplied Users of Surface Water","Non-Agricultural, Self-Supplied Users of Surface Water","Non-Agricultural, Self-Supplied Users of Surface Water","Non-Agricultural, Self-Supplied Users of Surface Water",,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","If unable to find data or data not applicable, note","If unable to find data or data not applicable, note","If unable to find data or data not applicable, note"
accordingly.,"If applicable, mark users on associated map.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.",,,,
"SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6,",,,
