Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”,Name: “Table 1 of 1 on page 9 of 28”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,
,,,,,Water Purchases Outside Planning Area,Water Purchases Outside Planning Area,Water Purchases Outside Planning Area,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,Hampton Roads Peninsula,Hampton Roads Peninsula,Hampton Roads Peninsula,,,,"629 East Main Street,"
,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning,http://www.deq.virginia.gov/watersupplyplanning
List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark and label on"
associated map.,,,,,,,,,,,
AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),,
,,Source:,,Amount to be Purchased:,Amount to be Purchased:,,,,Contract Limitations:,,
"PWSID#,",,Surface Water,Maximum,Maximum,Average,Average,,,,,
Community Water System,Ground Water,Reservoir & Sub-basin or,Daily,Daily,Annual,Annual,Supplier(s) Name(s),Contract or,Recipient(s),,
Name,Well Name & ID No.,Stream/River Name & Sub-basin,(gpd),(MGD),(gpd),(MGD),(PWSID #),Agreement Terms,or Area(s) Served,Contract Limits,Other
,,,,0.00,,0.00,,,,,
NA,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,,,,0.00,,0.00,,,,,
,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,0.00,,0.00,,,,,
