Name: “Table 1 of 1 on page 147 of 165”,Name: “Table 1 of 1 on page 147 of 165”,Name: “Table 1 of 1 on page 147 of 165”,Name: “Table 1 of 1 on page 147 of 165”,Name: “Table 1 of 1 on page 147 of 165”,Name: “Table 1 of 1 on page 147 of 165”
Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147
,,,,,
,Authorized Positions Per Department,,,,
,Current Position Title,FY11,FY12,FY13,FY14
County Attorney,Full-Time Regular,,,,
,Assistant County Attorney,1,1,1,1
,County Attorney,1,1,1,1
,Deputy County Attorney,1,1,1,1
,Legal Secretary,1,1,1,1
,Legal Technician,1,1,1,1
,,5,5,5,5
,Part-Time Temporary,,,,
,Law Clerk,520 hrs,520 hrs,520 hrs,520 hrs
Courthouse,Full-Time Regular,,,,
,Courthouse Facilities Superintendent,1,1,1,1
,Facilities Specialist,1,1,1,1
,,2,2,2,2
,Part-Time Regular,,,,
,"Custodian (1,040 hrs)",1,1,1,1
Courts/Judicial,Full-Time Regular,,,,
,Court Administrator,2,2,2,2
Development,Full-Time Regular,,,,
Management,Development Management Assistant*,1.5,1.5,1.5,1.5
,Director Development Management Department,1,1,1,1
,,2.5,2.5,2.5,2.5
* One position shared between Development Management and Planning.,* One position shared between Development Management and Planning.,,,,
Economic,Full-Time Regular,,,,
Development,Business Development and Retention Coordinator,0,1,1,1
,Economic Development Assistant,1,1,1,1
,Assistant Director Economic Development Division,1,1,1,1
,Director Economic Development Division,1,1,1,1
,,3,4,4,4
Emergency,Full-Time Regular,,,,
Communications,Computer Aided Dispatch Administrator,0,1,1,1
,Deputy Director Emergency Communications Division,1,1,1,1
,Director Emergency Communications Division,1,1,1,1
,Emergency Communications Officer I/II/III/IV,20,20,20,20
,Emergency Communications Shift Supervisor,4,3,3,3
,,26,26,26,26
Emergency Management,Full-Time Regular,,,,
,Administrative Services Coordinator,1,1,1,1
,Administrator Emergency Management Division,1,1,1,1
,Fire Safety Public Educator,0,1,1,1
,,2,3,3,3
Engineering and,Full-Time Regular,,,,
Resource Protection,Chief Civil Engineer,1,1,1,1
,Civil Engineer I/II/III,1,2,1,1
,Director Engineering and Resource Protection Division,1,1,1,1
,Engineering Assistant,1,1,1,1
,Inspector I/II/III,5,5,5,5
,Inspector Supervisor,1,1,1,1
,Planner I/II/III,1,1,1,1
,Lead Engineering Assistant,1,1,1,1
,,12,13,12,12
_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________
,Page G-6,,,,
