Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”,Name: “Table 1 of 1 on page 46 of 165”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,,
,,,,,,,,
Fines and Forfeitures,,,,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 12,,FY 12,,FY 13,,FY 14
,,Adopted,,Projected,,Adopted,,Plan
Fines and Forfeitures,$,"300,000",$,"275,000",$,"300,000",$,"300,000"
BUDGET COMMENTS,,,,,,,,
This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged
with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,with violations of County ordinances and are level budgeted in both FY2013 and FY2014.,
,,,Page B-6,Page B-6,,,,
