Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”,Name: “Table 1 of 1 on page 47 of 165”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,
,,,,,,,,
Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 12,,FY 12,,FY 13,,FY 14
,,Adopted,,Projected,,Adopted,,Plan
Rent,$,"270,000",$,"280,000",$,"185,000",$,"185,000"
BUDGET COMMENTS,,,,,,,,
Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the,Rent payments from the leasing of radio towers space are shown here. Legacy Hall rental estimates in the
"amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility","amount of $48,000 have been moved into the Parks and Recreation revenue categories as part of facility"
"rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements","rentals, and the Jamestown Marina rental income of $45,000 has been moved to the Capital Improvements"
Program.,,,,,,,,
,,,Page B-7,Page B-7,,,,
