Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”,Name: “Table 1 of 1 on page 45 of 165”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees",,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,,,,
,,,,,FY 12,FY 12,,,FY 12,,,FY 13,,,,FY 14,
,,,,,Adopted,Adopted,Adopted,,Projected,,,Adopted,,,,Plan,
Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,$,"4,750,000","4,750,000","4,750,000",$,"5,350,000","5,350,000",$,"5,450,000","5,450,000",$,,"5,550,000","5,550,000"
Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,,,"130,000","130,000",,"135,000","135,000",,"135,000","135,000",,,"135,000","135,000"
Business License Penalty,Business License Penalty,Business License Penalty,Business License Penalty,,,"100,000","100,000",,"100,000","100,000",,"100,000","100,000",,,"100,000","100,000"
Business License Interest,Business License Interest,Business License Interest,Business License Interest,,,"25,000","25,000",,"25,000","25,000",,,"25,000",,,"25,000","25,000"
Delinquent Business and,Delinquent Business and,Delinquent Business and,Delinquent Business and,,,,,,,,,,,,,,
Professional Licenses,Professional Licenses,Professional Licenses,Professional Licenses,,,,-,,,-,,,"60,000",,,"60,000","60,000"
Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,,,"315,000","315,000",,"375,000","375,000",,"382,000","382,000",,,"400,000","400,000"
Building Permits,Building Permits,Building Permits,Building Permits,,,"800,000","800,000",,"785,000","785,000",,"800,000","800,000",,,"850,000","850,000"
Planning and Zoning Fees,Planning and Zoning Fees,Planning and Zoning Fees,Planning and Zoning Fees,,,"100,000","100,000",,"100,000","100,000",,"100,000","100,000",,,"100,000","100,000"
,Dog Licenses,Dog Licenses,Dog Licenses,,,"35,000","35,000",,"20,000","20,000",,,"20,000",,,"20,000","20,000"
Septic Tank Permit Fees,Septic Tank Permit Fees,Septic Tank Permit Fees,Septic Tank Permit Fees,,,"2,000","2,000",,"2,500","2,500",,,"3,000",,,"3,000","3,000"
Stormwater Inspection Fees,Stormwater Inspection Fees,Stormwater Inspection Fees,Stormwater Inspection Fees,,,"20,000","20,000",,"60,000","60,000",,,"60,000",,,"60,000","60,000"
Erosion Control Fees,Erosion Control Fees,Erosion Control Fees,Erosion Control Fees,,,"100,000","100,000",,"110,000","110,000",,"110,000","110,000",,,"110,000","110,000"
,,,Total,$,"6,377,000","6,377,000","6,377,000",$,"7,062,500","7,062,500",$,"7,245,000","7,245,000",$,,"7,413,000","7,413,000"
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,,,
