Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”,Name: “Table 1 of 1 on page 163 of 165”
Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163
,,,,,,,
,,,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,
,,,,,,Real Property and,
,,,Assessed Value,Assessed Value,,Public Service,Personal Property
,,,,,Total,Percentage of,Percentage
Fiscal,Fiscal,Real,Personal,Public,Assessed,Estimated,of Estimated
,Year,Property,Property,Service*,Value,Actual Value,Actual Value
,2005,"6,695,142,900","639,376,935","154,833,875","7,489,353,710",100.00,**
,2006,"8,189,928,900","693,850,170","165,476,326","9,049,255,396",100.00,**
,2007,"9,821,638,100","730,150,755","152,475,702","10,704,264,557",100.00,**
,2008,"10,672,714,225","761,010,321","176,428,097","11,610,152,643",100.00,**
,2009,"11,005,655,000","750,654,235","184,750,991","11,941,060,226",100.00,**
,2010,"11,155,493,300","741,196,285","196,289,584","12,092,979,169",100.00,**
,2011,"11,172,929,700","768,751,597","210,802,200","12,152,483,497",100.00,**
2012 (Est),2012 (Est),"11,316,807,900","785,000,000","220,000,000","12,321,807,900",100.00,**
2013 (Est),2013 (Est),"10,876,086,016","800,000,000","220,000,000","11,896,086,016",100.00,**
2014 (Est),2014 (Est),"10,972,086,016","820,000,000","230,000,000","12,022,086,016",100.00,**
**,Personal Property assessed as follows:,Personal Property assessed as follows:,Mobile Homes at 100 percent of Estimated Actual Value;,Mobile Homes at 100 percent of Estimated Actual Value;,Mobile Homes at 100 percent of Estimated Actual Value;,Machinery and Tools at,Machinery and Tools at
,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,,,
Source:,Source:,"Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.",,
"*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.","*Real Property and Public Service figure for 2012 is actual, all other figures for FY2012-FY2014 are estimates.",
,,,,Page G-22,Page G-22,,
