Name: “Table 1 of 1 on page 162 of 165”,Name: “Table 1 of 1 on page 162 of 165”,Name: “Table 1 of 1 on page 162 of 165”
Table: 162,Table: 162,Table: 162
,,
Property Tax Rates Per $100 of Assessed Value,Property Tax Rates Per $100 of Assessed Value,Property Tax Rates Per $100 of Assessed Value
Fiscal Year,Real Estate,Personal Property
2005,0.825,4.00
2006,0.785,4.00
2007,0.77,4.00
2008,0.77,4.00
2009,0.77,4.00
2010,0.77,4.00
2011,0.77,4.00
2012,0.77,4.00
2013,0.77,4.00
2014,0.77,4.00
,Page G-21,
