Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”,Name: “Table 1 of 1 on page 49 of 165”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,
This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-
Categorical,"Aid,",Shared,Expenses,Expenses,"(Categorical),","(Categorical),",and,Categorical,Aid.,Non-Categorical,Non-Categorical,Aid,Aid,includes,includes
revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,The use of such revenues is,The use of such revenues is,The use of such revenues is,The use of such revenues is,The use of such revenues is
at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from
the,Commonwealth,for,the,State's,share,of,expenditures,in,activities,that,are,considered,to,be,joint
responsibilities.,Categorical,Categorical,Categorical,Aid,includes,includes,revenues,received,from,the,"Commonwealth,","Commonwealth,",which,which,are
designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,,,,,
Change,,,,,,,,,,,,,,,
State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,State revenue estimates for FY2013 are 2.6 percent higher than the FY2012 budget.,Recordation taxes are,Recordation taxes are,Recordation taxes are,Recordation taxes are
projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,projected to be level with FY2012 projections.,HB599 funds are expected to remain level.,HB599 funds are expected to remain level.,HB599 funds are expected to remain level.,HB599 funds are expected to remain level.,HB599 funds are expected to remain level.,Sales Tax for,Sales Tax for,Sales Tax for,Sales Tax for
Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.,Education numbers are based on State estimates received as of the date this document was published.
