Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”,Name: “Table 1 of 1 on page 63 of 165”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,,,,
,,,,,,,,,,,,
Courthouse,Courthouse,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,
"This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located"
on,Monticello,Avenue.,The,Courthouse,includes,the,Circuit,"Court,",District,"Court,",Juvenile,and
"Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.",
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,
,,,,,FY 12,,FY 13,FY 13,,FY 14,,
,,,,,Adopted,,Adopted,Adopted,,Plan,,
,,Personnel,Personnel,$,"130,463",$,"136,661","136,661",$,"139,139","139,139",
,,Operating,Operating,,"416,200",,"406,700","406,700",,"406,700","406,700",
Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,,"(95,119)",,"(92,915)","(92,915)",,"(93,338)","(93,338)",
,,Total,Total,$,"451,544",$,"450,446","450,446",$,"452,501","452,501",
PERSONNEL,PERSONNEL,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,Full-time Personnel,,2,,,2,,2,2,
,Part-time Personnel,Part-time Personnel,Part-time Personnel,,1,,,1,,1,1,
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,
The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.1 percent of the operating
costs in FY2013 under the terms of the contract.,costs in FY2013 under the terms of the contract.,costs in FY2013 under the terms of the contract.,costs in FY2013 under the terms of the contract.,costs in FY2013 under the terms of the contract.,This budget reflects level funding.,This budget reflects level funding.,This budget reflects level funding.,This budget reflects level funding.,This budget reflects level funding.,,,
,,,,,Page C-10,Page C-10,,,,,,
