Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”,Name: “Table 1 of 1 on page 114 of 165”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,,,,,
,,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,,,,,,,
,PARKS AND RECREATION,,,,,,,,,,,,Five Year
,,,FY2013,,FY2014,,FY2015,,FY2016,,FY2017,,TOTAL
"Chickahominy RF Park - water system, facility upgrades","Chickahominy RF Park - water system, facility upgrades",$,"300,000",$,"345,000",,,,,,,$,"645,000"
Buy out and renovate JCWCC leased space,Buy out and renovate JCWCC leased space,,"285,000",,,,,,,,,,"285,000"
JCW Community Center,HVAC/Sewer and Interior Renovations,,"249,000",,"50,000",$,"77,000",$,"35,000",$,"20,000",,"431,000"
Replacement Grounds Equipment - County and School Fields,Replacement Grounds Equipment - County and School Fields,,"200,000",,,,,,,,,,"200,000"
Phase II Jamestown Beach Restoration,,,"194,000",,,,,,,,,,"194,000"
Warhill Sports Complex Basketball Courts Surfacing/lights/shelters,Warhill Sports Complex Basketball Courts Surfacing/lights/shelters,,"190,000",,,,,,,,,,"190,000"
