Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”,Name: “Table 1 of 1 on page 144 of 165”
Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144
,,,,,,,,,,,
Budgeted Employment Data,,,,,,All Funds,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colonial Community Corrections,F/T,13,13,13,13,11,11,12,12,11,11
,P/T,5,5,5,5,4,4,3,3,3,3
Office of Housing and,F/T,8.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5,9,9
Community Development,P/T,1,1,0,0,0,1,1,1,1,1
JCSA,F/T,81,85,87,88,90,90,86,89,89,89
,P/T,1,1,2,2,2,2,2,2,2,2
Social Services,F/T,52.5,53.5,53.5,57.5,57.5,52.5,52.5,52.5,52,52
,P/T,1,1,1,1,1,1,3,4,4,4
Special Projects/Grants,F/T,6,6,4,5,6,5,3,3,3,3
,P/T,0,0,0,0,1,1,1,1,2,2
Grand Total All Funds,F/T,653.5,678.5,715.5,759.5,758.0,730.0,704.0,707.0,705.0,706.0
,P/T,78.0,78.0,61.0,57.0,57.0,52.0,40.0,42.0,43.0,43.0
A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,,,,,,,
* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,,,,,,,
___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________
,,,,Page G-3,Page G-3,,,,,,
