Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”,Name: “Table 1 of 1 on page 51 of 165”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,,
,,,,,,,,,,
Charges for Current Services,Charges for Current Services,Charges for Current Services,,,,General Revenue Fund,General Revenue Fund,General Revenue Fund,General Revenue Fund,General Revenue Fund
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,
,,,FY 12,,FY 12,,FY 13,,FY 14,FY 14
,,,Adopted,,Projected,Adopted,Adopted,,Plan,
Excess Fees - Clerk,Excess Fees - Clerk,$,"165,000",$,"155,000",$,"165,000",$,"165,000","165,000"
"Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees",,"140,000",,"140,000",,"145,000",,"145,000","145,000"
Other Fees for Service,Other Fees for Service,,"77,500",,"74,500",,"85,000",,"85,000","85,000"
Parks and Recreation Revenues,Parks and Recreation Revenues,,"2,496,088",,"2,446,211",,"2,558,000",,"2,561,000","2,561,000"
ALS/BLS Fees,ALS/BLS Fees,,"1,860,000",,"1,860,000",,"2,127,000",,"2,194,000","2,194,000"
,Total,$,"4,738,588",$,"4,675,711",$,"5,080,000",$,"5,150,000","5,150,000"
BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,
This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to,This budget provides for revenue received as a result of fees charged for certain services provided to
citizens and other public agencies.,citizens and other public agencies.,citizens and other public agencies.,"It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water","It does not include revenues for enterprise type activities (e.g., water"
"and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.","and sewer charges), which are budgeted under their respective activities.",,,,,
One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,One-third of the excess fees collected by the Clerk of the Circuit Court are accounted for in this area.,The
State claims the other two-thirds.,State claims the other two-thirds.,,,,,,,,,
Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the,Overall Parks and Recreation revenues are projected to increase by approximately 2.5 percent from the
FY2012 budget.,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure,Additional park revenues will be generated as a result of the new tree top adventure
course in Freedom Park and an ice skating rink in New Town.,course in Freedom Park and an ice skating rink in New Town.,course in Freedom Park and an ice skating rink in New Town.,course in Freedom Park and an ice skating rink in New Town.,course in Freedom Park and an ice skating rink in New Town.,course in Freedom Park and an ice skating rink in New Town.,,,,,
Estimates for ALS/BLS,(Advanced,(Advanced,Life Support/Basic Life Support) are increased,Life Support/Basic Life Support) are increased,Life Support/Basic Life Support) are increased,Life Support/Basic Life Support) are increased,Life Support/Basic Life Support) are increased,based on rate and,based on rate and,based on rate and
mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,mileage increases recommended by our billing provider to match increased allowables by Medicare.,The
