Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”,Name: “Table 1 of 1 on page 110 of 165”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,,,,,,,,
,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,CAPITAL IMPROVEMENT PROGRAM DETAILS,,,,,,
,,,,,,,,,,,,Five Year
FUNDING SOURCES,,FY2013,,FY2014,,FY2015,,FY2016,,FY2017,,TOTAL
Transfer from the General Fund,$,"2,000,000",$,"2,000,000",$,"2,321,000",$,"3,025,300",$,"3,768,500",$,"13,114,800"
Year-End General Fund Balance,,"3,000,000",,"3,000,000",,"3,000,000",,"3,000,000",,"3,000,000",,"15,000,000"
Bond Financing,Bonds,"20,000,000",,,,"11,734,000",,,,TBD,,"31,734,000"
Jamestown Marina Rental Income,,"42,000",,"48,000",,"60,000",,"72,000",,"78,000",,"300,000"
VDOT Revenue Sharing Reimbursement,,"516,900",,,,,,,,,,"516,900"
,$,"25,558,900",$,"5,048,000",$,"17,115,000",$,"6,097,300",$,"6,846,500",$,"60,665,700"
BUDGET COMMENTS,,,,,,,,,,,,
"The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.","The Transfer from the General Fund reflects, for FY2013 and FY2014, a dedication of part of the General Fund's recurring revenue.",For the remaining,For the remaining,For the remaining
"three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the","three fiscal years, this projection of revenues from the General Fund also includes an allocation of General Fund revenues that has exceeded spending in the"
prior year.,Only the projects and monies identified in FY2013 will be appropriated and commited.,Only the projects and monies identified in FY2013 will be appropriated and commited.,Only the projects and monies identified in FY2013 will be appropriated and commited.,Only the projects and monies identified in FY2013 will be appropriated and commited.,Only the projects and monies identified in FY2013 will be appropriated and commited.,The remaining four years are included for planning,The remaining four years are included for planning,The remaining four years are included for planning,The remaining four years are included for planning,The remaining four years are included for planning,The remaining four years are included for planning,The remaining four years are included for planning
purposes only and will be revisited in each annual budget cycle.,purposes only and will be revisited in each annual budget cycle.,purposes only and will be revisited in each annual budget cycle.,,,,,,,,,,
