Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”,Name: “Table 1 of 1 on page 139 of 165”
Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139
,,,,,,,,,,,,,
,,,Debt Service Fund,Debt Service Fund,Debt Service Fund,Debt Service Fund,Debt Service Fund,,,,,,
,,FY2012,,FY2013,FY2013,FY2014,FY2014,,FY2015,,FY2016,,FY2017
BEGINNING FUND BALANCE,BEGINNING FUND BALANCE,"$16,045,435","$16,045,435","$14,945,005","$14,945,005","$10,489,572","$10,489,572",$,"5,774,624",$,"2,315,580",$,"442,406"
REVENUES,,,,,,,,,,,,,
General Fund - Schools,,"$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000"
General Fund - Other,,,"4,825,000",,"2,450,000",,"2,500,000",,"3,800,000",,"5,100,000",,"6,400,000"
,,"$22,825,000","$22,825,000","$20,450,000","$20,450,000","$20,500,000","$20,500,000","$21,800,000","$21,800,000","$23,100,000","$23,100,000","$24,400,000","$24,400,000"
Build America Bonds,,,"227,750",,"223,301",,"218,018",,"211,620",,"204,331",,"195,791"
Investment Income,,,"50,000",,"20,000",,"20,000",,"10,000",,"5,000",,"20,000"
,,"$23,102,750","$23,102,750","$20,693,301","$20,693,301","$20,738,018","$20,738,018","$22,021,620","$22,021,620","$23,309,331","$23,309,331","$24,615,791","$24,615,791"
AVAILABLE FUNDS,,"$39,148,185","$39,148,185","$35,638,306","$35,638,306","$31,227,590","$31,227,590","$27,796,244","$27,796,244","$25,624,911","$25,624,911","$25,058,197","$25,058,197"
EXPENDITURES,,,,,,,,,,,,,
VPSA 1992,,$,"134,275",$,"128,025",,,,,,,,
VPSA 1994,,,"247,641",,,,,,,,,,
VPSA 1997,,,"1,555,045",,"1,558,420",$,"1,557,480",$,"1,557,760",$,"1,558,980",$,"1,565,720"
VPSA 1999,,,"1,501,123",,"1,504,653",,"1,500,333",,"1,503,003",,"1,500,844",,"1,503,496"
VPSA 1999B,,,"90,585",,"87,188",,"83,678",,"80,093",,"76,470",,"72,810"
Radio System 2003,,,"1,375,013",,"1,375,841",,"1,375,475",,"1,375,867",,"1,374,874",,"1,375,448"
2003 GO Refunding,,,"2,665,150",,"2,647,875",,"2,667,625",,"2,680,375",,,,
2005 School GO,,,"2,730,708",,"2,729,083",,"2,729,083",,"2,730,395",,"2,727,548",,"2,717,388"
Warhill Complex 2006,,,"1,682,456",,"1,699,456",,"1,702,056",,"1,698,056",,"1,702,565",,"1,702,819"
Parks 2006 GO,,,"1,744,313",,"1,702,313",,"1,660,313",,"1,618,313",,"1,576,313",,"1,523,813"
School Const 2006,,,"8,381,250",,"8,141,750",,"7,902,250",,"7,662,750",,"7,423,250",,"7,183,750"
Police Bldg 2009,,,"1,215,715",,"1,213,003",,"1,207,909",,"1,199,628",,"1,193,803",,"1,184,403"
Refunding 2010,,,"632,225",,"609,700",,"589,900",,"563,000",,"2,907,975",,
Radio System 2010,,,"155,258",,"155,258",,"155,258",,"162,369",,"162,369",,"162,369"
QSCB VPSA 2011,,,"50,000",,"50,000",,"50,000",,"50,000",,"50,000",,"50,000"
Pub Facilities 2011,,,"42,423",,"806,169",,"791,606",,"776,055",,"761,514",,"746,874"
Fire/Schools 2013,,,,,"740,000",,"1,480,000",,"1,480,000",,"1,480,000",,"1,480,000"
Public Facilities 2015,,,,,,,,,"343,000",,"686,000",,"686,000"
Middle School/Central Office,2017,,,,,,,,,,,,TBD
,,"$24,203,180","$24,203,180","$25,148,734","$25,148,734","$25,452,966","$25,452,966","$25,480,664","$25,480,664","$25,182,505","$25,182,505","$21,954,890","$21,954,890"
ENDING FUND BALANCE,,"$14,945,005","$14,945,005","$10,489,572","$10,489,572",$,"5,774,624",$,"2,315,580",$,"442,406",$,"3,103,307"
,,,,,Page F-11,,,,,,,,
