Name: “Table 1 of 1 on page 156 of 165”,Name: “Table 1 of 1 on page 156 of 165”,Name: “Table 1 of 1 on page 156 of 165”,Name: “Table 1 of 1 on page 156 of 165”,Name: “Table 1 of 1 on page 156 of 165”
Table: 156,Table: 156,Table: 156,Table: 156,Table: 156
,,,,
Authorized Positions Per Department,,,,
Current Position Title,FY11,FY12,FY13,FY14
Part-Time Regular,,,,
Social Work Assistant (832 hours),1,1,1,1
"Eligibility Worker (2,080 hours)",0,2,2,2
"Senior Eligibility Worker (1,040 hours)",1,1,1,1
"Senior Office Assistant (1,300 hours)",1,0,0,0
,3,4,4,4
Part-Time Temporary,,,,
Senior Eligibility Worker,"1,404 hrs","1,404 hrs",0 hrs,0 hrs
On-Call,,,,
Social Worker II,"2,080 hrs","2,080 hrs",0 hrs,0 hrs
Special Projects/Grants,,,,
Full-Time Limited-Term,,,,
Victim Assistance Director,1,1,1,1
Victim Assistance Assistant Director,1,1,1,1
Victim Advocate,1,1,1,1
,3,3,3,3
Part-Time Limited-Term,,,,
"Attorney I (1,040 hours)",1,1,1,1
"Emergency Management Planner (1,040 hours)",0,0,1,1
,1,1,2,2
_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________
Page G-15,,,,
