Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”,Name: “Table 1 of 1 on page 97 of 165”
Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97
,,,,,,
,,,,,,
Contributions – Other Outside Agencies,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,,,,,,
This budget provides for the County's contribution to a number of non-County agencies.,This budget provides for the County's contribution to a number of non-County agencies.,This budget provides for the County's contribution to a number of non-County agencies.,This budget provides for the County's contribution to a number of non-County agencies.,This budget provides for the County's contribution to a number of non-County agencies.,This budget provides for the County's contribution to a number of non-County agencies.,Some of these
"agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,","agencies provide services that the County itself would have to assume if the agency were not in place,"
while others are either mandated by the State or are regional activities.,while others are either mandated by the State or are regional activities.,while others are either mandated by the State or are regional activities.,,,,
BUDGET SUMMARY,,,,,,
,,FY 12,,FY 13,,FY 14
,,Adopted,,Adopted,,Plan
Community Services Agencies:,,,,,,
Community Action Agency (CAA),$,"62,720",$,"57,720",$,"57,720"
AVALON Task Force for Battered Women,,"49,500",,"49,500",,"49,500"
"Housing Partnership, Inc.",,"60,000",,-,,-
Historic Triangle Senior Center,,"34,450",,"34,450",,"34,450"
Child Development Resources (CDR),,"6,500",,"6,500",,"6,500"
Hospice of Williamsburg,,"9,000",,"9,000",,"9,000"
United Way of Greater Williamsburg,,"19,000",,"19,000",,"19,000"
Court-Appointed Special Advocates (CASA),,"17,100",,"17,100",,"17,100"
Grove Christian Outreach Center,,-,,"5,000",,"5,000"
Peninsula Agency on Aging,,"8,511",,"8,511",,"8,511"
Peninsula Center – Independent Living,,"4,500",,"4,500",,"4,500"
Williamsburg Meals on Wheels,,"7,350",,"7,350",,"7,350"
Historic Triangle Community Services Center,,"15,000",,"20,000",,"15,000"
Adult Literacy for Life,,"3,600",,"3,600",,"3,600"
Williamsburg Faith in Action,,"17,500",,"17,500",,"17,500"
,$,"314,731",$,"259,731",$,"254,731"
Business and Regional Associations:,,,,,,
Hampton Roads Military & Fed Facilities Alliance,$,"24,905",$,"23,037",$,"23,037"
Peninsula Council for Workforce Development,,"28,306",,"26,183",,"26,183"
Hampton Roads Partnership (HRP),,"5,120",,-,,-
Peninsula Chamber of Commerce,,"1,000",,-,,-
Commission on Homelessness,,"13,961",,"13,961",,"13,961"
NASA Aeronautics Support Team,,"1,000",,"1,000",,"1,000"
,$,"74,292",$,"64,181",$,"64,181"
Educational/Environmental:,,,,,,
Thomas Nelson Community College,$,"97,368",$,"113,002",$,"113,002"
Hampton Roads Planning District Commission,,"96,311",,"91,058",,"91,058"
Williamsburg Arts Commission,,"55,000",,"60,000",,"60,000"
Jamestown 4-H Center,,"3,000",,"3,000",,"3,000"
Williamsburg Land Conservancy,,"1,000",,"1,000",,"1,000"
,$,"252,679",$,"268,060",$,"268,060"
,Page C-44,,,,,
