,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
,100 General Fund,100 General Fund,,,
Taxes,,,,,
Real Property,,"95,290,325","92,121,173","94,811,840","96,929,166"
Personal Property,,"21,115,922","20,666,142","20,255,584","20,721,462"
Other General Proper,,"4,251,202","3,750,419","4,085,878","4,179,853"
Other Local Taxes,,"36,080,251","34,943,974","36,258,815","37,092,768"
Utility Tax Revenue,,"7,579,044","7,728,416","7,684,000","7,860,732"
,,"164,316,744","159,210,124","163,096,117","166,783,981"
Intergovernmental Revenue,,,,,
State Non-Categorical Aid,,"10,195,866","10,294,962","10,430,712","10,434,392"
State Categorical Aid,,"25,399,809","25,292,599","25,070,362","25,310,158"
Federal Revenue,,"115,686",-,-,-
,,"35,711,361","35,587,561","35,501,074","35,744,550"
Charges For Services,,,,,
Charges for Services,,"3,353,714","3,048,935","4,264,000","4,347,617"
Total Recovered Cost,,"672,346","672,346","351,582","351,582"
Miscellaneous Revenue,,"1,476,698","1,657,097","8,088,259","3,961,010"
,,"5,502,758","5,378,378","12,703,841","8,660,209"
Miscellaneous Revenue,,,,,
Miscellaneous Revenue,,"283,485","20,000","55,000","56,265"
Other Financing Sources,,,,,
Investment Income,,"7,066","94,000","10,000","10,230"
Other Financing Sources,,"823,914",-,"250,000","250,000"
,,"830,980","94,000","260,000","260,230"
Recovered Costs,,,,,
Total Recovered Cost,,"3,659,424","4,115,746","3,714,318","3,732,877"
Fines and Forfeiture,,"184,740","178,000","455,000","458,565"
,,"3,844,165","4,293,746","4,169,318","4,191,442"
Licenses And Permits,,,,,
Licenses and Permits,,"1,136,979","939,425","1,088,025","1,113,051"
Use Of Property,,,,,
Use of Property,,"1,682,779","2,096,000","1,687,000","1,725,801"
Payment In Lieu Of Taxes,,,,,
Total Recovered Cost,,"374,894","363,000","375,000","383,625"
Miscellaneous Revenue,,"1,533,091","1,530,568","1,552,000","1,587,696"
,,"1,907,985","1,893,568","1,927,000","1,971,321"
Operating Transfers In,,,,,
Transfers In,,"8,327,383","8,848,588","9,016,675","9,016,675"
,Total General Fund,"223,544,617","218,361,390","229,504,050","229,523,525"
Fiscal Year 2012,12,,,,Summary Reports
City of Portsmouth,City of Portsmouth,,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
400 Behavioral Healthcare Svc Fund,400 Behavioral Healthcare Svc Fund,400 Behavioral Healthcare Svc Fund,,,
Intergovernmental Revenue,,,,,
State Non-Categorical Aid,,"89,670",-,"146,920","146,920"
State Categorical Aid,,"8,220,281","9,296,941","8,764,610","8,764,610"
Federal Revenue,,"1,609,071","1,550,084","1,567,362","1,567,362"
,,"9,919,022","10,847,025","10,478,892","10,478,892"
Charges For Services,,,,,
Charges for Services,,"31,144","50,000",-,-
Miscellaneous Revenue,,"19,394","231,000","250,000","250,000"
,,"50,538","281,000","250,000","250,000"
Other Financing Sources,,,,,
Investment Income,,"1,385","25,000","25,000","25,000"
Operating Transfers In,,,,,
Transfers In,,"504,708","518,608","237,356","234,743"
Total Behavioral Healthcare Svc Fund,Total Behavioral Healthcare Svc Fund,"10,475,652","11,671,633","10,991,248","10,988,635"
405 Public Law Library Fund,405 Public Law Library Fund,405 Public Law Library Fund,,,
Charges For Services,,,,,
Charges for Services,,"28,574","33,757","31,026","31,026"
Miscellaneous Revenue,,319,-,-,-
,,"28,893","33,757","31,026","31,026"
Other Financing Sources,,,,,
Investment Income,,10,-,-,-
Total Public Law Library Fund,Total Public Law Library Fund,"28,903","33,757","31,026","31,026"
410 Social Services Fund,410 Social Services Fund,410 Social Services Fund,,,
Intergovernmental Revenue,,,,,
State Categorical Aid,,"16,852,299","22,975,284","22,896,648","22,896,648"
Federal Revenue,,"16,186","25,000","25,000","25,000"
,,"16,868,485","23,000,284","22,921,648","22,921,648"
Charges For Services,,,,,
Miscellaneous Revenue,,"117,043","200,000","150,000","200,000"
Miscellaneous Revenue,,,,,
Miscellaneous Revenue,,"39,955",-,"250,000","250,000"
Recovered Costs,,,,,
Total Recovered Cost,,"61,158","85,000","85,000","85,000"
Operating Transfers In,,,,,
Transfers In,,"4,381,737","5,884,148","5,172,070","5,077,167"
Total Social Services Fund,Total Social Services Fund,"21,468,378","29,169,432","28,578,718","28,533,815"
415 Community Services Fund,415 Community Services Fund,415 Community Services Fund,,,
Intergovernmental Revenue,,,,,
