Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”,Name: “Table 1 of 1 on page 28 of 39”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,,,,,,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,,,,,,,,,,"Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued",
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,,,,,,,,,,,
Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,Statement of Changes in Fiduciary Net Assets,,,,,,,,,,,,,,,,,
"Year Ended June 30, 2010","Year Ended June 30, 2010","Year Ended June 30, 2010","Year Ended June 30, 2010",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PSRS,PSRS,,,FPRS,,,,,,
Additions:,,,,,,,,,,,,,,,,,,,,,,,,
Contributions,,,,,,,,,,,,,$,,"2,615,000","2,615,000",,"12,667,000","12,667,000",,,,,
Transfer from general fund,Transfer from general fund,Transfer from general fund,Transfer from general fund,,,,,,,,,,,,"70,395","70,395",,,"17,328",,,,,
Investment income -,Investment income -,Investment income -,,,,,,,,,,,,,,,,,,,,,,
Net increase in fair value of investments,Net increase in fair value of investments,Net increase in fair value of investments,Net increase in fair value of investments,Net increase in fair value of investments,Net increase in fair value of investments,Net increase in fair value of investments,,,,,,,,,"2,424,585","2,424,585",,,"5,802,323",,,,,
Less investment expense,Less investment expense,Less investment expense,Less investment expense,,,,,,,,,,,,"(84,026)","(84,026)",,,"(213,314)","(213,314)",,,,
Net investment income,Net investment income,Net investment income,Net investment income,,,,,,,,,,,,"2,340,559","2,340,559",,,"5,589,009",,,,,
Total additions,Total additions,Total additions,,,,,,,,,,,,,"5,025,954","5,025,954",,"18,273,337","18,273,337",,,,,
Deductions:,,,,,,,,,,,,,,,,,,,,,,,,
Benefits,,,,,,,,,,,,,,,"7,770,780","7,770,780",,"16,547,499","16,547,499",,,,,
Pension supplement,Pension supplement,Pension supplement,,,,,,,,,,,,,"70,395","70,395",,,"17,328",,,,,
Change in net assets,Change in net assets,Change in net assets,Change in net assets,,,,,,,,,,,"(2,815,221)","(2,815,221)","(2,815,221)",,,"1,708,510",,,,,
"Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,","Net plan assets held in trust for pension benefits,",,,,,,,,,,,,,,,,,,
beginning of year,,,,,,,,,,,,,,"25,703,504","25,703,504","25,703,504",,"64,119,968","64,119,968",,,,,
