Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”,Name: “Table 1 of 1 on page 31 of 39”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,,,"Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,,,,,
,Funded Status of Pension Plans,Funded Status of Pension Plans,Funded Status of Pension Plans,Funded Status of Pension Plans,Funded Status of Pension Plans,Funded Status of Pension Plans,,,,,,,,,,,
,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of,Following is a table showing the funding status of the defined benefit pension plans in which the City participates as of
,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,the most recent actuarial valuation date for each plan:,,,,,,,,,
,,,,,,,,,Actuarial,,,,,,,,
,,,,,,,,,Accrued,Unfunded,Unfunded,,,,,UAAL as a,UAAL as a
,,,,Actuarial,Actuarial,,,Actuarial,Liability,(Overfunded),(Overfunded),,,,,Percentage,Percentage
,,,,Valuation,Valuation,,,Value of,(AAL),,AAL,Funded,,Covered,,of Covered,of Covered
,,,,,Date,,,Assets,- Entry Age,,(UAAL),Ratio,,Payroll,,Payroll,Payroll
,,CITY-ADMINISTERED PLANS:,CITY-ADMINISTERED PLANS:,CITY-ADMINISTERED PLANS:,CITY-ADMINISTERED PLANS:,CITY-ADMINISTERED PLANS:,CITY-ADMINISTERED PLANS:,,,,,,,,,,
,,,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,,,,,,,,
,,,,7/1/2010,7/1/2010,$,,"27,465,940","73,797,071","46,331,131","46,331,131",37%,$,"2,702,000",,1715%,1715%
,,,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,,,,,,,,,
,,,,7/1/2010,7/1/2010,$,,"78,994,174","216,550,641","137,556,467","137,556,467",36%,$,"10,531,000",,1306%,1306%
