Name: “Table 1 of 1 on page 16 of 39”,Name: “Table 1 of 1 on page 16 of 39”,Name: “Table 1 of 1 on page 16 of 39”,Name: “Table 1 of 1 on page 16 of 39”,Name: “Table 1 of 1 on page 16 of 39”,Name: “Table 1 of 1 on page 16 of 39”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,
"CITY OF PORTSMOUTH, VIRGINIA",,,,"Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,
Depreciation expense was charged to business-type activities as follows:,Depreciation expense was charged to business-type activities as follows:,Depreciation expense was charged to business-type activities as follows:,,,
Public utilities,,$,"4,674,505",,
Parking Authority,,,"489,632",,
Port facility,,,"66,520",,
Golf,,,"131,828",,
Waste Management,,,"899,492",,
Total business-type activities,,$,"6,261,977",,
Primary Government -,,,,,
Major Enterprise Funds,,,,,
,,Balance,,,Balance
,,"July 1, 2009",Additions,Deletions,"June 30, 2010"
Public Utility Fund,,,,,
Capital assets not being depreciated:,,,,,
Land,$,"324,079",-,-,"324,079"
Construction in progress,,"66,248,558","13,747,188",-,"79,995,746"
Total capital assets not being depreciated,,"66,572,637","13,747,188",-,"80,319,825"
Capital assets being depreciated:,,,,,
Buildings,,"736,018",-,-,"736,018"
Improvements other than buildings,,"170,274,136",-,-,"170,274,136"
"Machinery, furniture, and equipment",,"11,453,197","259,460","272,587","11,440,070"
Total capital assets being depreciated,,"182,463,351","259,460","272,587","182,450,224"
Less accumulated depreciation for:,,,,,
Buildings,,"(87,710)","(18,871)",-,"(106,581)"
Improvements other than buildings,,"(61,442,397)","(3,786,812)",-,"(65,229,209)"
"Machinery, furniture, and equipment",,"(6,064,601)","(868,822)","(272,587)","(6,660,836)"
Total accumulated depreciation,,"(67,594,708)","(4,674,505)","(272,587)","(71,996,626)"
"Total capital assets being depreciated, net",,"114,868,643","(4,415,045)",-,"110,453,598"
"Public Utility Fund capital assets, net",$,"181,441,280","9,332,143",-,"190,773,423"
Parking Authority,,,,,
Capital assets not being depreciated:,,,,,
Land,$,"679,680",-,-,"679,680"
Total capital assets not being depreciated,,"679,680",-,-,"679,680"
Capital assets being depreciated:,,,,,
Buildings,,"18,667,910",-,-,"18,667,910"
Improvements other than buildings,,"260,636",-,-,"260,636"
"Machinery, furniture, and equipment",,"431,083","67,359","11,553","486,889"
Total capital assets being depreciated,,"19,359,629","67,359","11,553","19,415,435"
Less accumulated depreciation for:,,,,,
Buildings,,"(8,906,989)","(460,981)",-,"(9,367,970)"
Improvements other than buildings,,"(233,619)","(10,463)",-,"(244,082)"
"Machinery, furniture, and equipment",,"(209,334)","(18,188)","(11,553)","(215,969)"
Total accumulated depreciation,,"(9,349,942)","(489,632)","(11,553)","(9,828,021)"
"Total capital assets being depreciated, net",,"10,009,687","(422,273)",-,"9,587,414"
"Parking Authority capital assets, net",$,"10,689,367","(422,273)",-,"10,267,094"
,,43,,,
