Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”,Name: “Table 1 of 1 on page 23 of 39”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,"Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,
Governmental Activities:,Governmental Activities:,,,,,,
,,General Obligation,General Obligation,,,,
Fiscal Year,,Bonds,,Literary Loans,Literary Loans,Capital Leases,Capital Leases
Ending,,Principal,Interest,Principal,Interest,Principal,Interest
2011,$,"8,601,704","19,537,361","375,000","45,000","2,650,665","1,100,936"
2012,,"8,623,161","19,692,971","375,000","37,500","1,965,330","1,028,227"
2013,,"11,671,342","26,556,450","250,000","30,000","1,500,858","925,011"
2014,,"13,171,259","27,799,935","250,000","25,000","977,177","829,359"
2015,,"13,420,203","28,618,740","250,000","20,000","771,103","737,995"
2016-2020,,"67,447,997","133,667,701","750,000","30,000","4,997,296","2,238,348"
2021-2025,,"62,635,208","121,843,277",-,-,"611,791","30,536"
2026-2030,,"41,961,514","75,314,040",-,-,-,-
2031-2035,,"14,283,206","20,301,229",-,-,-,-
,$,"241,815,594","473,331,704","2,250,000","187,500","13,474,220","6,890,412"
Business-Type Activities:,Business-Type Activities:,,,,,,
Fiscal Year,,General Obligation,General Obligation,Capital Leases,Capital Leases,,
Ending,,Principal,Interest,Principal,Interest,,
2011,$,"4,522,491","5,753,033","880,786","51,317",,
2012,,"4,735,109","5,936,833","670,906","27,456",,
2013,,"5,287,230","5,716,208","389,967","11,147",,
2014,,"5,256,198","5,481,304","266,421","3,384",,
2015,,"5,663,273","5,225,834",-,-,,
2016-2020,,"32,650,344","22,024,083",-,-,,
2021-2025,,"31,564,844","14,560,074",-,-,,
2026-2030,,"21,495,887","8,169,723",-,-,,
2031-2035,,"10,918,264","3,829,802",-,-,,
2036-2040,,"8,110,685","1,491,262",-,-,,
2041-2045,,"80,137",-,-,-,,
,$,"130,284,462","78,188,156","2,208,080","93,304",,
,,,,50,,,
