Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”,Name: “Table 1 of 1 on page 15 of 39”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,"Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,
,,,,Expended to,,
Stimulus Fund Open Projects,,Project Authorization,,"June 30, 2010",Commitments,Commitments
Traffic Signal Improvements,$,"2,023,543",,"397,018","8,762","8,762"
ARRA- JAG 2009,,"654,981",,"245,826","37,387","37,387"
Prentis Park Waterline Replacement,,"4,808,250",,"2,764,370","2,181,296","2,181,296"
CDBG-Recovery Funds,,"473,578",,"200,000","6,687","6,687"
ARRA-Energy Effcy Cons Block Grant,,"1,002,000",,"59,303","119,035","119,035"
Simonsdale School,,"17,222,196",,"3,134,694",,-
,$,"26,184,548",,"6,801,210","2,353,167","2,353,167"
"When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be","When a project is authorized, financing is either presently available or general obligation bonds are authorized to be"
issued.,"In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide","In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide","In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide","In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide","In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide","In anticipation of the issuance of general obligation bonds, bond anticipation notes may be utilized to provide"
temporary financing.,"Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and","Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and","Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and","Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and","Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and","Commitments totaling $15,457,505 have been reserved for encumbrances for capitalizable and"
noncapitalizable expenditures in the capital improvements fund.,noncapitalizable expenditures in the capital improvements fund.,noncapitalizable expenditures in the capital improvements fund.,,,,
Primary Government -,,,,,,
Business-Type Activities,,,Balance,,,Balance
,,,"July 1, 2009",Additions,Deletions,"June 30, 2010"
Capital assets not being depreciated:,,,,,,
Land,,$,"15,348,574",-,-,"15,348,574"
Construction in progress,,,"66,248,558","13,747,188",-,"79,995,746"
Total capital assets not being depreciated,Total capital assets not being depreciated,,"81,597,132","13,747,188",-,"95,344,320"
Capital assets being depreciated:,,,,,,
Buildings,,,"25,469,577",-,-,"25,469,577"
Improvements other than buildings,,,"172,607,621",-,-,"172,607,621"
"Machinery, furniture, and equipment",,,"21,039,029","326,819","431,132","20,934,716"
Total capital assets being depreciated,Total capital assets being depreciated,,"219,116,227","326,819","431,132","219,011,914"
Less accumulated depreciation for:,,,,,,
Buildings,,,"(12,671,607)","(631,476)",-,"(13,303,083)"
Improvements other than buildings,,,"(63,726,390)","(3,798,724)",-,"(67,525,114)"
"Machinery, furniture, and equipment",,,"(10,963,683)","(1,831,777)","(422,003)","(12,373,457)"
Total accumulated depreciation,,,"(87,361,680)","(6,261,977)","(422,003)","(93,201,654)"
"Total capital assets being depreciated, net","Total capital assets being depreciated, net",,"131,754,547","(5,935,158)","9,129","125,810,260"
"Business-type activities capital assets, net","Business-type activities capital assets, net",$,"213,351,679","7,812,030","9,129","221,154,580"
,,42,,,,
