Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”,Name: “Table 1 of 1 on page 36 of 39”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,,"Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,,
(11),DUE FROM/TO OTHER GOVERNMENTS,DUE FROM/TO OTHER GOVERNMENTS,DUE FROM/TO OTHER GOVERNMENTS,,,,,,
,Due From Other Governments,Due From Other Governments,Due From Other Governments,,,,,,
,"Amounts due from other governments at June 30, 2010 are as follows:","Amounts due from other governments at June 30, 2010 are as follows:","Amounts due from other governments at June 30, 2010 are as follows:","Amounts due from other governments at June 30, 2010 are as follows:","Amounts due from other governments at June 30, 2010 are as follows:","Amounts due from other governments at June 30, 2010 are as follows:",,,
,,,,,,Federal,State,Total,
,Governmental activities:,Governmental activities:,,,,,,,
,General Fund:,,,,,,,,
,Sales and use tax,,,$,,-,"1,094,564","1,094,564",
,Personal property tax relief,Personal property tax relief,Personal property tax relief,,,-,"9,862,962","9,862,962",
,Correctional facilities block grant,Correctional facilities block grant,Correctional facilities block grant,,,-,"147,170","147,170",
,Constitutional officers' support,Constitutional officers' support,Constitutional officers' support,,,-,"724,325","724,325",
,Other,,,,,-,"51,401","51,401",
,Total General Fund,Total General Fund,,,,-,"11,880,422","11,880,422",
,Nonmajor governmental funds:,Nonmajor governmental funds:,Nonmajor governmental funds:,,,,,,
,Community Services Act Fund,Community Services Act Fund,Community Services Act Fund,,,-,"624,516","624,516",
,Social Services Fund,Social Services Fund,,,,-,"2,048,764","2,048,764",
,Grants Fund,,,,,"376,246","316,272","692,518",
,Community Development Fund,Community Development Fund,Community Development Fund,,,"657,887",-,"657,887",
,Total nonmajor governmental funds,Total nonmajor governmental funds,Total nonmajor governmental funds,,"1,034,133","1,034,133","2,989,552","4,023,685",
,Total governmental activities,Total governmental activities,Total governmental activities,$,"1,034,133","1,034,133","14,869,974","15,904,107",
(12),DEFERRED AND UNEARNED REVENUES,DEFERRED AND UNEARNED REVENUES,DEFERRED AND UNEARNED REVENUES,,,,,,
,"Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which","Deferred and unearned revenues represent amounts for which asset recognition criteria have been met, but for which"
,revenue recognition criteria have not been met.,revenue recognition criteria have not been met.,revenue recognition criteria have not been met.,"Under the modified accrual basis of accounting, such amounts are","Under the modified accrual basis of accounting, such amounts are","Under the modified accrual basis of accounting, such amounts are","Under the modified accrual basis of accounting, such amounts are","Under the modified accrual basis of accounting, such amounts are","Under the modified accrual basis of accounting, such amounts are"
,"measurable, but not available.","measurable, but not available.",,,,,,,
,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide,Deferred and unearned revenues for the primary government’s fund-based financial statements and government-wide
,financial statements are comprised of the following:,financial statements are comprised of the following:,financial statements are comprised of the following:,financial statements are comprised of the following:,,,,,
,,,,Governmental Funds,Governmental Funds,Governmental Funds,,,Business-Type
,,,,Capital,Capital,Nonmajor,,,Activity -
,,,General,Improvements,Improvements,Governmental,,Governmental,Parking
,,,Fund,Fund,Fund,Funds,Total,Activities,Authority
,Property taxes,$,"8,217,431",-,-,-,"8,217,431",-,-
,Parking space rentals,,-,-,-,-,-,-,"55,754"
,Unearned grant revenue,,-,-,-,-,-,-,
,Notes receivable,,-,"4,152","4,152",-,"4,152","4,152",-
,Stormwater fees,,-,-,-,"46,477","46,477",-,-
,Total deferred and,,,,,,,,
,unearned revenues,$,"8,217,431","4,152","4,152","46,477","8,268,060","4,152","55,754"
,,,,,63,,,,
