Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”,Name: “Table 1 of 1 on page 18 of 39”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA",,,,,,"Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,,,
School Board Component Unit,,,,,,,,
,,Balance,,,,,,Balance
,,"July 1, 2009",,Additions,,Deletions,"June 30, 2010","June 30, 2010"
Capital assets not being depreciated:,,,,,,,,
Land,$,"6,146,793",,-,,"21,589",,"6,125,204"
Construction in progress,,"4,684,503",,"12,086,832",,"3,208,525",,"13,562,810"
Total capital assets not being depreciated,,"10,831,296",,"12,086,832",,"3,230,114",,"19,688,014"
Capital assets being depreciated:,,,,,,,,
Buildings,,"68,275,227",,"2,366,449",,"1,672,770",,"68,968,906"
"Machinery, furniture, and equipment",,"19,797,348",,"2,404,331",,"742,764",,"21,458,915"
Total capital assets being depreciated,,"88,072,575",,"4,770,780",,"2,415,534",,"90,427,821"
Less accumulated depreciation for:,,,,,,,,
Buildings,,"(27,070,940)",,"(1,273,189)",,,,"(28,344,129)"
"Machinery, furniture, and equipment",,"(12,510,139)",,"(1,090,408)",,"(742,764)",,"(12,857,783)"
Total accumulated depreciation,,"(39,581,079)",,"(2,363,597)",,"(742,764)",,"(41,201,912)"
Capital assets being amortized,,,,,,,,
Intangible assets,,-,,"422,270",,-,,"422,270"
Total capital assets - being depreciated,,-,,"422,270",,-,,"422,270"
Less accumulated depreciation for:,,,,,,,,
Intangible assets,,-,,"(51,327)",,-,,"(51,327)"
Total accumulated depreciation,,-,,"(51,327)",,-,,"(51,327)"
"School Board capital assets, net",$,"59,322,792",$,"14,864,958",$,"4,902,884",$,"69,284,866"
Economic Development Authority Component Unit,Economic Development Authority Component Unit,,,,,,,
,,Balance,,,,,,Balance
,,"July 1, 2009",,Additions,,Deletions,"June 30, 2010","June 30, 2010"
Capital assets not being depreciated:,,,,,,,,
Land,,"1,205,660",,-,,-,,"1,205,660"
Total capital assets not being depreciated,,"1,205,660",,-,,-,,"1,205,660"
,,45,,,,,,
