Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,,,,,,,,
"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,,,,,,,"Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued","Exhibit H, Continued"
"Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued","Notes to Basic Financial Statements, Continued",,,,,,,,,,,,,
Payroll and Participants,Payroll and Participants,Payroll and Participants,Payroll and Participants,,,,,,,,,,,,,,,
"The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees","The payroll at June 30, 2010 for employees covered by PSRS and FPRS and the total payroll for all City employees"
was as follows:,was as follows:,was as follows:,,,,,,,,,,,,,,,,
Payroll for employees covered by PSRS,Payroll for employees covered by PSRS,Payroll for employees covered by PSRS,Payroll for employees covered by PSRS,Payroll for employees covered by PSRS,,,,,,,,,,$,$,"2,213,874","2,213,874",
Payroll for employees covered by FPRS,Payroll for employees covered by FPRS,Payroll for employees covered by FPRS,Payroll for employees covered by FPRS,Payroll for employees covered by FPRS,,,,,,,,,,,,"9,820,608","9,820,608",
Total City payroll,Total City payroll,Total City payroll,,,,,,,,,,,,,,"73,342,372","73,342,372",
Participation,Participation,in,the,Portsmouth,Supplemental,Retirement,Retirement,Retirement,System,and,the,Fire,and,Police,Police,Retirement,Retirement,System
