Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”,Name: “Table 1 of 1 on page 101 of 108”
Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,Parking Authority CIP,Parking Authority CIP,Parking Authority CIP,,,,
,Appropriated,FY 2012,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2013,FY 2014,FY 2015,FY 2016,Total,Total
Project Title,,,,,,,,
County Street Parking Garage,-,-,"250,000","1,600,000","1,500,000",-,"3,350,000","3,350,000"
Replacement,,,,,,,,
Garage Facilities Repairs,"521,795",-,-,-,-,-,-,"521,795"
Parking Garage Repairs,"1,604,979","216,320","224,973","233,972","250,000","250,000","1,175,265","2,780,244"
Total Project Cost,"2,126,774","216,320","474,973","1,833,972","1,750,000","250,000","4,525,265","6,652,039"
Debt Funding,,,,,,,,
General Obligation Bonds,"1,511,535","216,320","474,973","1,833,972",-,"250,000","2,775,265","4,286,800"
Other Funding,,,,,,,,
Sale of Property,"400,000",-,-,-,-,-,-,"400,000"
Transfers,,,,,,,,
Transfer from General Fund,"50,000",-,-,-,"1,750,000",-,"1,750,000","1,800,000"
Transfer from Parking Authority,"165,239",-,-,-,-,-,-,"165,239"
Operating,,,,,,,,
Transfers Funding,"215,239",-,-,-,"1,750,000",-,"1,750,000","1,965,239"
Total Funding,"2,126,774","216,320","474,973","1,833,972","1,750,000","250,000","4,525,265","6,652,039"
Fiscal Year 2012,,,101,,,,Capital Improvements,Capital Improvements
