Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”,Name: “Table 1 of 1 on page 78 of 108”
Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,Municipal Facilities,Municipal Facilities,Municipal Facilities,,,,
,Appropriated,FY 2012,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2013,FY 2014,FY 2015,FY 2016,Total,Total
Project Title,,,,,,,,
ADA Compliance-Municipal Facilities,"578,000","81,120","84,365","87,740","90,000","75,000","418,225","996,225"
Benchmark Monumentation Grid,"150,000",-,-,-,-,-,-,"150,000"
Churchland Library,"6,747,590",-,-,-,-,-,-,"6,747,590"
City/Schools Joint Financial,"2,936,486",-,-,-,-,-,-,"2,936,486"
Management System,,,,,,,,
Disposition of School Properties,"2,100,000",-,-,-,-,-,-,"2,100,000"
Effingham Fire Station Restoration,"657,000",-,-,-,-,-,-,"657,000"
Fire Stations Renovations,"300,000",-,-,-,-,-,-,"300,000"
Fire Vehicle and Storage Building,"438,708",-,-,-,-,-,-,"438,708"
Harbor Center Pavilion-Facility,"276,000","50,000","50,000","50,000","50,000","50,000","250,000","526,000"
Upgrades,,,,,,,,
HazMat Program,"2,137,454","81,120","84,365","87,740","85,000","85,000","423,225","2,560,679"
Judicial Facilities Improvements,"3,640,000",-,-,-,-,-,-,"3,640,000"
Portsmouth Court Complex(Port,"44,950,259","28,000,000","4,750,000","9,048,292",-,-,"41,798,292","86,748,551"
Center),,,,,,,,
Public Safety New Radio System,-,"3,000,000","8,000,000",-,-,-,"11,000,000","11,000,000"
Renovations to Various Buildings,"2,466,694","216,320","224,973","233,972","250,000","250,000","1,175,265","3,641,959"
Repair of Seawall,"863,932","37,856","39,370","40,945","50,000","50,000","218,171","1,082,103"
Replacement of HVAC,"1,615,406","108,160","112,486","116,985","120,000","150,000","607,631","2,223,037"
Roof Replacement,"2,308,022","108,160","112,486","116,985","120,000","150,000","607,631","2,915,653"
Seawall Reinforcement,"5,675,000","3,200,000",-,-,"250,000",-,"3,450,000","9,125,000"
Total Project Cost,"77,840,551","34,882,736","13,458,045","9,782,659","1,015,000","810,000","59,948,440","137,788,991"
Debt Funding,,,,,,,,
General Obligation Bonds,"63,458,501","6,013,933","11,589,242","7,913,856","715,000","760,000","26,992,031","90,450,532"
General Obligation Notes,-,"25,000,000",-,-,-,-,"25,000,000","25,000,000"
Debt Funding Funding,"63,458,501","31,013,933","11,589,242","7,913,856","715,000","760,000","51,992,031","115,450,532"
Other Funding,,,,,,,,
Harbor Center Pavilion Ticket Sales,"276,000","50,000","50,000","50,000","50,000","50,000","250,000","526,000"
Other - Federal Funding,"122,000",-,-,-,-,-,-,"122,000"
Other - Local Funding,"315,146",-,-,-,-,-,-,"315,146"
Other - State Funding,"100,000",-,-,-,-,-,-,"100,000"
Sale of Property,"3,990,000",-,-,-,-,-,-,"3,990,000"
Other Funding Funding,"4,803,146","50,000","50,000","50,000","50,000","50,000","250,000","5,053,146"
Transfers,,,,,,,,
Trans from Gen Fund to Capital,"2,577,572","1,818,803","1,818,803","1,818,803",-,-,"5,456,409","8,033,981"
Reserve - Courts,,,,,,,,
Transfer from General Fund,"7,001,332","2,000,000",-,-,"250,000",-,"2,250,000","9,251,332"
Transfers Funding,"9,578,904","3,818,803","1,818,803","1,818,803","250,000",-,"7,706,409","17,285,313"
Total Funding,"77,840,551","34,882,736","13,458,045","9,782,659","1,015,000","810,000","59,948,440","137,788,991"
Fiscal Year 2012,,,78,,,,Capital Improvements,Capital Improvements
