Name: “Table 1 of 1 on page 2 of 4”,Name: “Table 1 of 1 on page 2 of 4”,Name: “Table 1 of 1 on page 2 of 4”,Name: “Table 1 of 1 on page 2 of 4”,Name: “Table 1 of 1 on page 2 of 4”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,
GENERAL F UND EXPENDITURE SUMMARY,GENERAL F UND EXPENDITURE SUMMARY,GENERAL F UND EXPENDITURE SUMMARY,GENERAL F UND EXPENDITURE SUMMARY,
,,FY 2010,FY 2011,FY 2012
,,Actual,Approved,Approved
LEGISLATIVE,LEGISLATIVE,,,
City Council,City Council,"338,627","354,200","363,100"
City Clerk,City Clerk,"1,526,342","1,432,800","1,404,600"
City Real Estate Assessor,City Real Estate Assessor,"1,985,929","1,989,200","1,992,100"
City Auditor,City Auditor,"630,059","640,500","679,000"
Total Legislative,Total Legislative,"4,480,957","4,416,700","4,438,800"
EXECUTIVE,EXECUTIVE,,,
City Manager,City Manager,"1,897,395","2,380,600","1,919,800"
Office of Budget & Management,Office of Budget & Management,"868,548","1,040,900","1,067,700"
Intergovernmental Relations,Intergovernmental Relations,"403,830",0,0
Communications and Public Information,Communications and Public Information,"1,667,363","1,690,600","1,757,800"
Office to End Homelessness,Office to End Homelessness,"230,928","255,300","425,000"
Office of Community Empowerment,Office of Community Empowerment,"267,994",0,0
Office of Youth and Childhood Development,Office of Youth and Childhood Development,0,"1,291,200",0
Total Executive,Total Executive,"5,336,058","6,658,600","5,170,300"
DEPARTMENT OF LAW,DEPARTMENT OF LAW,"3,691,381","3,912,500","3,941,200"
CONSTITUTIONAL OFFICERS (revenue related),CONSTITUTIONAL OFFICERS (revenue related),,,
Commissioner of the Revenue,Commissioner of the Revenue,"3,095,925","2,999,500","3,032,300"
City Treasurer,City Treasurer,"2,264,098","2,202,700","2,311,600"
Total Constitutional Officers,Total Constitutional Officers,"5,360,023","5,202,200","5,343,900"
JUDICIAL,JUDICIAL,,,
Clerk of the Circuit Court,Clerk of the Circuit Court,"2,805,932","2,785,900","2,900,600"
General District Court,General District Court,"299,561","309,200","297,800"
Juvenile & Domestic Relations Court,Juvenile & Domestic Relations Court,"79,421","95,800","94,700"
Circuit Court Judges,Circuit Court Judges,"613,057","667,600","636,800"
Probation Services,Probation Services,"213,307","207,900","174,700"
Magistrate,Magistrate,"78,786","81,900","38,900"
Commonwealth's Attorney,Commonwealth's Attorney,"5,458,119","5,511,400","5,382,600"
Sheriff and Jail,Sheriff and Jail,"35,657,999","35,970,900","36,108,000"
Total Judicial,Total Judicial,"45,206,182","45,630,600","45,634,100"
OFFICE OF ELECTIONS,OFFICE OF ELECTIONS,"644,743","618,100","906,300"
GENERAL MANAGEMENT,GENERAL MANAGEMENT,,,
Information Technology,Information Technology,"9,914,121","10,742,800","10,342,400"
Finance,Finance,"18,594,271","3,741,300","3,198,300"
General Services,General Services,0,0,"18,949,800"
Human Resources,Human Resources,"3,049,159","2,749,200","2,740,500"
68,General Fund Expenditure Summary,,,
