Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”,Name: “Table 1 of 1 on page 28 of 86”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,
,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,Improve Neighborhood Commercial Areas,
Department,,,,,,Project Description,Project Description,Project Description,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,Provide funds to improve a range of public infrastructure,Provide funds to improve a range of public infrastructure,Provide funds to improve a range of public infrastructure,Provide funds to improve a range of public infrastructure,Provide funds to improve a range of public infrastructure,Provide funds to improve a range of public infrastructure
,,,,needs designed to enhance and support private sector,needs designed to enhance and support private sector,needs designed to enhance and support private sector,needs designed to enhance and support private sector,needs designed to enhance and support private sector,needs designed to enhance and support private sector
Account #,,,,investments in a variety of neighborhood commercial,investments in a variety of neighborhood commercial,investments in a variety of neighborhood commercial,investments in a variety of neighborhood commercial,investments in a variety of neighborhood commercial,investments in a variety of neighborhood commercial
4000 15 3048,,,,areas.,Improvements are necessary to encourage,Improvements are necessary to encourage,Improvements are necessary to encourage,Improvements are necessary to encourage,Improvements are necessary to encourage
,,,,private sector investment and improve the competitive,private sector investment and improve the competitive,private sector investment and improve the competitive,private sector investment and improve the competitive,private sector investment and improve the competitive,private sector investment and improve the competitive
,,,,position of these areas.,position of these areas.,position of these areas.,"In addition, funds will support","In addition, funds will support","In addition, funds will support"
,,,,façade and property improvements and matching grants,façade and property improvements and matching grants,façade and property improvements and matching grants,façade and property improvements and matching grants,façade and property improvements and matching grants,façade and property improvements and matching grants
,,,,to property owners who contribute a certain level of,to property owners who contribute a certain level of,to property owners who contribute a certain level of,to property owners who contribute a certain level of,to property owners who contribute a certain level of,to property owners who contribute a certain level of
Customers Served,Customers Served,,,investment in their properties that result in visible,investment in their properties that result in visible,investment in their properties that result in visible,investment in their properties that result in visible,investment in their properties that result in visible,investment in their properties that result in visible
,,,,improvements.,improvements.,improvements.,,,
Residents v,Business v,City Services,,,,,,,
Educational Community,Educational Community,Tourists/Visitors,,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,0,"600,000","600,000","600,000","600,000","600,000","2,400,000"
FY 2011 Approved,,0,"600,000","600,000","600,000","600,000","600,000",N/A,"2,400,000"
Operating Budget,,N/A,0,,0,0,0,0,0
Impact,,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,,
Planning / Design,,,0,,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,Prior Capital Funding,,"8,606,000",
Construction,,,0,FY 2012 Approved,FY 2012 Approved,FY 2012 Approved,,,0
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,Capital Share Remaining,,"2,400,000",
,Total,,0,Project Total,Project Total,Project Total,,"11,006,000",
,,Property Address:,Citywide,,,,,,
374 - Economic Development CIP,374 - Economic Development CIP,374 - Economic Development CIP,,,,,,,
