Supplemental Data and Statistics,,
,Date settled,1752
Date charter adopted,,"March 1, 1858"
Form of government,,Council – Manager
Number of employees (6/24/11),,"1,806"
,Population:,
Population by race/ethnicity:,,
,White,41.6%
,Black,53.3%
,Other,5.1%
,Labor: (5/30/11),
Civilian labor force,,"45,884"
Number of employed workers,,"42,145"
Number of unemployed workers,,"3,739"
Unemployment rate,,8.1%
,Elections:,
Number of registered voters (6/6/10),,"61,749"
Number of votes cast:,,
,Last general election (11/2/10),"27,332"
,Last municipal election (5/4/10),"10,072"
Area in square miles,,33
Facilities and services:,,
Miles of streets,,399
Number of street lights,,"10,706"
Public recreation facilities:,,
,Number of community centers,7
,Number of museums,5
,Number of entertainment venues,2
,1,Supplement
Number of shopping districts,5
Parks,4
Park acreage,203
Number of golf courses,2
Number of swimming pools,1 (outdoor)
Number of tennis courts,24
Fire protection:,
Number of stations,8
Number of firefighters,94
Number of sworn uniformed paramedics,28
Number of civilian paramedics,7(FT) 17(PT)
Number of calls answered,"16,285"
Police protection:,
Number of stations,1
Number of employees,321
Vehicular patrol units,223
Number of criminal arrests,"9,799"
Number of traffic summons,"16,223"
Number of parking violations,"12,162"
Sewage system:,
Miles of sanitary sewers,437
Miles of storm sewers,250
Number of service connections,"31,600"
Water system:,
Miles of water mains,625
Number of service connections,"32,000"
Number of fire hydrants,"2,575"
Number of treatment plants,1
2,Supplement
Daily average consumption in gallons,15.5 MGD
Maximum daily capacity of plant in gallons,32.0 MGD
Maximum safe yield of supply,30.9 MGD
Total reservoir capacity,5.15 billion gallons
Facilities and services not included in the reporting entity:,
Education:,
Number of pre-k centers,4
Number of pre-k center instructors,48
Number of elementary schools,13
Number of elementary school instructors,553
Number of middle schools,3
Number of middle school instructors,149
Number of high schools,3
Number of high school instructors,270
Number of special centers,4
Number of special center instructors,76
Average daily school membership,"14,103"
Hospitals:,
Number of hospitals,2
Number of patient beds,644
3,Supplement
