"CITY OF PORTSMOUTH, VIRGINIA"
"Operating Indicators by Function/Program"
"Last Ten Fiscal Years"
"2001","2002","2003","2004","2005","2006"
"Function/Program"
"Police"
"Physical arrests9,965","10,835","10,506","15,333","10,724","10,571"
"Parking violations10,288","7,857","8,698","8,124","8,652","8,228"
"Traffic violations15,824","8,496","17,006","13,603","17,896","12,294"
"Fire "
"Emergency responses*","*","*","*","*","17,310"
"Fires extinguished*","*","*","*","*","855"
"Inspections*","*","*","*","*","1,785"
"Refuse collection"
"Refuse collected (tons/day)*","*","*","*","*","162"
"Recyclables collected (pounds/day)*","*","*","*","*","2"
"Other public works "
"Street resurfacing (miles)*","*","*","*","*","26.3"
"Potholes repaired*","*","*","*","*","1,324"
"Parks and recreation"
"Community center admissions*","*","*","*","*","262,399"
"Library"
"Volumes in collection*","*","*","*","*","338,601"
"Total volumes borrowed*","*","*","*","*","380,040"
"Water"
"New connections*","*","*","*","*","136"
"Water main breaks*","*","*","*","*","125"
"Average daily consumption"
"(millions of gallons)17.61","17.74","17.74","17.85","17.97","18.81"
"Peak daily consumption "
"(millions of gallons)*","*","*","*","*","26.69"
"* Information not available at this time."
