General Fund Revenues
This page intentionally left blank
G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,,,,
,FY 2012,FY 2013,FY 2013,FY 2014,
Revenue Source,,,,,
,Actual,Approved,Estimate,Approved,
GENERAL PROPERTY TAXES,,,,,
Real Property Taxes,,,,,
Current,"181,442,151","176,977,400","177,248,600","187,025,300",
Delinquent,"7,367,579","7,057,100","6,800,000","7,035,700",
Interest and Administrative Fees1,"953,593","912,000","775,000","775,000",
Real Estate Tax Refunds,"-20,636","-100,000","-230,000","-100,000",
Subtotal - Real Property Taxes,"189,742,687 184,846,500 184,593,600 194,736,000","189,742,687 184,846,500 184,593,600 194,736,000","189,742,687 184,846,500 184,593,600 194,736,000","189,742,687 184,846,500 184,593,600 194,736,000",
Downtown Improvement District (DID),,,,,
Current,"1,595,304","1,648,500","1,625,100","1,632,400",
Real Property - Public Service Corporation (PSC),,,,,
Current,"8,804,258","8,300,000","8,745,000","9,015,600",
Delinquent,"1,477","10,000",0,"10,000",
Subtotal - Real Property PSC,"8,805,735","8,310,000","8,745,000","9,025,600",
Total All Real Property Taxes,"200,143,726 194,805,000 194,963,700 205,394,000","200,143,726 194,805,000 194,963,700 205,394,000","200,143,726 194,805,000 194,963,700 205,394,000","200,143,726 194,805,000 194,963,700 205,394,000",
Personal Property,,,,,
Current,"33,283,820","33,920,000","33,500,000","33,750,000",
Delinquent,"10,601,207","10,900,000","10,600,000","10,600,000",
Interest and Administrative Fees1,"770,499","860,000","725,000","700,000",
Personal Property Tax Refund,"-315,080","-1,200,000","-500,000","-500,000",
Subtotal - Personal Property Tax,"44,340,446","44,480,000","44,325,000","44,550,000",
Personal Property - Public Service Corporations,,,,,
Current,"107,216","107,000","112,390","112,400",
Mobile Home,,,,,
Current,"9,835","9,000","9,800","10,000",
Delinquent,"6,684","10,000","7,000","7,000",
Interest,556,"1,000","1,000","1,000",
Subtotal - Mobile Home,"17,075","20,000","17,800","18,000",
Machinery and Tools,,,,,
Current,"5,403,102","5,150,000","5,400,000","5,450,000",
Delinquent,"98,696","300,000","144,000","100,000",
Interest,"7,633","9,000","8,000","8,000",
Subtotal - Machinery and Tools,"5,509,431","5,459,000","5,552,000","5,558,000",
Total General Property Taxes,"250,117,894 244,871,000 244,970,890 255,632,400","250,117,894 244,871,000 244,970,890 255,632,400","250,117,894 244,871,000 244,970,890 255,632,400","250,117,894 244,871,000 244,970,890 255,632,400",
,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,65
,,FY 2012,FY 2013,FY 2013,FY 2014
Revenue Source,Revenue Source,,,,
,,Actual,Approved,Estimate,Approved
OTHER LOCAL TAXES,OTHER LOCAL TAXES,,,,
Sales and Use,Sales and Use,"27,598,972","30,200,000","29,700,000","30,300,000"
Consumer Utility Taxes,Consumer Utility Taxes,,,,
,Water,"5,361,814","5,400,000","5,400,000","5,440,000"
,Electric,"12,420,024","12,900,000","12,500,000","12,650,000"
,Gas,"2,651,847","3,000,000","2,900,000","3,000,000"
,Communications Sales Tax,"19,583,145","19,400,000","19,200,000","19,200,000"
Subtotal - Consumer Utility Taxes,Subtotal - Consumer Utility Taxes,"40,016,830","40,700,000","40,000,000","40,290,000"
Business Taxes,Business Taxes,,,,
,Other Local Tax Refunds,0,0,"-15,000","-15,000"
,Business License,"28,667,265","28,100,000","28,700,000","28,685,600"
,Franchise,"973,524","900,000","816,000","816,000"
,Bank Franchise,"2,965,422","2,400,000","2,973,246","2,300,000"
Subtotal - Business Taxes,Subtotal - Business Taxes,"32,606,211","31,400,000","32,474,246","31,786,600"
Licenses and Decals,Licenses and Decals,,,,
,Motor Vehicle,"4,318,304","4,500,000","4,350,000","4,350,000"
,Boats,"90,936","100,000","92,000","100,000"
Subtotal - Licenses and Decals,Subtotal - Licenses and Decals,"4,409,240","4,600,000","4,442,000","4,450,000"
Consumer Taxes,Consumer Taxes,,,,
,Recordation,"1,686,365","1,700,000","1,900,000","1,900,000"
,Cigarette,"8,096,678","7,708,000","7,880,000","7,675,000"
,Admissions,"4,186,986","4,000,000","4,000,000","4,000,000"
,Hotel/Motel Room,"5,752,490","6,024,000","5,652,500","5,850,000"
,Hotel ($2 flat tax),"1,988,212","2,000,000","2,000,000","2,000,000"
,Restaurant Food,"25,632,800","25,650,000","25,890,000","26,281,000"
,Estate Probate,"47,728","40,000","45,000","45,000"
,Short Term Rental,"149,712","158,000","150,000","150,000"
Subtotal - Consumer Taxes,Subtotal - Consumer Taxes,"47,540,971","47,280,000","47,517,500","47,901,000"
Total Other Local Taxes,Total Other Local Taxes,"152,172,224 154,180,000 154,133,746 154,727,600","152,172,224 154,180,000 154,133,746 154,727,600","152,172,224 154,180,000 154,133,746 154,727,600","152,172,224 154,180,000 154,133,746 154,727,600"
"PERMITS, FEES AND LICENSES","PERMITS, FEES AND LICENSES",,,,
,Animal License,"66,687","225,000","61,000","100,000"
,Burglar Alarm License,"3,131","2,900","2,900","3,100"
,Residential Parking Decals,"31,637","30,000","30,000","30,000"
,Building Permit,"488,473","550,000","575,000","575,000"
,Electrical Permit,"256,984","250,000","275,000","275,000"
,Plumbing Permit,"169,557","170,000","190,000","170,000"
,Plan Review Fee,"133,790","122,000","122,000","122,000"
,Mechanical Code Inspection Fee,"159,718","170,000","163,000","170,000"
66,General Fund Revenue Summary,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014,
Revenue Source,,,,,,
,,Actual,Approved,Estimate,Approved,
Elevator Inspection Fee,,"69,711","85,000","85,000","85,000",
Driveway Permit,,"21,155","20,400","28,000","20,400",
Utility Cut Permit,,"82,668","67,200","74,000","67,200",
Special ROW/ Parking Permit,,"156,022","111,200","93,000","111,200",
Street Construction Permit,,"181,362","94,800","110,000","94,800",
Precious Metal Dealer Permit,,"20,830","19,000","17,000","18,000",
Fire Permit,,"106,182","101,000","115,000","115,000",
Fire Inspection,,"38,150","99,000","54,000","54,000",
Wetland Permit,,"3,925","4,500","2,500","4,000",
Zoning Fees,,"72,220","60,000","75,000","75,000",
Excessive Size and Weight Permit,Excessive Size and Weight Permit,"223,625","221,700","221,700","221,700",
Taxi Operator Permit,,"13,159","14,500","15,000","15,000",
Foot Race/Bicycle Race Permit,,502,300,600,600,
Yard/Garage Sale Permit,,"10,129","10,000","10,000","10,340",
Street Solicitation Permit,,10,0,0,0,
Registration Vacant Buildings Fee,Registration Vacant Buildings Fee,"7,350","6,000","8,000","8,000",
Transfer Fees,,"5,250","5,500","5,000","5,000",
Recreation/Parks Fees1,,"372,695","452,000","370,000",0,
Recreation/Parks Classes Fees1,,"387,796","428,928","400,000",0,
Recreation/Parks Concession Fees1,Recreation/Parks Concession Fees1,"8,035","5,000","3,000",0,
Recreation/Parks Rental Fees1,,"65,918","120,000","60,000",0,
Recreation/Parks Camp Wakeup,1,"418,216","455,000","440,000",0,
Cruise Ship Terminal Fees1,,"445,810","527,000","527,000",0,
Total Permits and Fees,,"4,020,697","4,427,928","4,132,700","2,350,340",
FINES AND FORFEITURES,,,,,,
Fines and Forfeitures,,"1,020,654","1,123,800","1,100,000","1,100,000",
Fees - Handling Bad Checks,,"11,345","12,000","10,500","11,300",
Penalties - Refuse Violation,,"13,225","25,000","20,000","22,000",
Excess Weight Penalties,,"12,431","25,000","10,000","18,000",
Fines - False Alarm,,"49,276","50,000","50,000","52,000",
Total Fines and Forfeitures,,"1,106,931","1,235,800","1,190,500","1,203,300",
USE OF MONEY AND PROPERTY,,,,,,
Interest on Investments,,"110,470","75,000","75,000","125,000",
Other Interest,,"74,992","254,800","254,800","255,000",
Rent - General Properties,,"3,493,583","3,497,100","3,540,100","3,604,600",
Rent - Gov’s Magnet School,,"21,229","20,300","20,300","6,000",
Rent - Cultural Convention Center,Rent - Cultural Convention Center,"129,863","360,000","200,000","175,000",
Rent - Chrysler Hall,,"511,086","325,000","325,000","325,000",
,,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,67
,,FY 2012,FY 2013,FY 2013,FY 2014
Revenue Source,Revenue Source,,,,
,,Actual,Approved,Estimate,Approved
,Rent - VA Stage/Wells Theatre,"55,691","35,000","35,000","20,000"
,Rent - Harrison Opera House,"153,040","70,000","70,000","35,000"
,Rent - Harbor Park-Other,"84,609","75,000","75,000","225,000"
,Rent - Special Programs,0,0,"30,000","32,200"
,Sale of Salvage Materials,"74,334","1,000","100,000","75,000"
,Sale of Fixed Assets,"21,384",0,"21,000","20,000"
