Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”,Name: “Table 1 of 1 on page 9 of 14”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,,,,,,
POPULATION AND AGE,POPULATION AND AGE,POPULATION AND AGE,POPULATION AND AGE,,,,,,,,,,,,,,,
"As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of"
population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,,,,,,,
"Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010",,,,,,,,,,
Year,Year,,City of Norfolk,City of Norfolk,City of Norfolk,,Commonwealth of Virginia,Commonwealth of Virginia,Commonwealth of Virginia,Commonwealth of Virginia,Commonwealth of Virginia,Commonwealth of Virginia,,U.S.,U.S.,,,
,,Number,Number,Number,Percent,Percent,,Number,Number,Percent,Percent,Percent,Number,Number,Number,Percent,Percent,
1960,1960,"305,872","305,872","305,872",,--,"3,966,949","3,966,949","3,966,949",,--,--,"179,323,175","179,323,175","179,323,175",,--,
1970,1970,"307,951","307,951","307,951",0.68%,0.68%,"4,648,494","4,648,494","4,648,494",,17.2%,17.2%,"203,211,926","203,211,926","203,211,926",,13.32%,
1980,1980,"266,979","266,979","266,979",-13.30%,-13.30%,"5,346,818","5,346,818","5,346,818",,15.0%,15.0%,"226,545,805","226,545,805","226,545,805",,11.48%,
1990,1990,"261,229","261,229","261,229",-2.15%,-2.15%,"6,187,358","6,187,358","6,187,358",,15.7%,15.7%,"248,709,873","248,709,873","248,709,873",,9.78%,
2000,2000,"234,403","234,403","234,403",-10.27%,-10.27%,"8,001,024","8,001,024","8,001,024",,29.3%,29.3%,"281,421,906","281,421,906","281,421,906",,13.15%,
2010,2010,"242,803","242,803","242,803",3.58%,3.58%,"7,078,515","7,078,515","7,078,515",,-11.5%,-11.5%,"308,745,538","308,745,538","308,745,538",,9.71%,
"Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census",,,,,,,
"Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011","Table 8: Population Distribution by Age and Sex, 2011",,,,,,,,,
"Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2011",,,,
20%,,,,,,,,,,,,,,,,,,
,,,,,,,,,2011 Population Distribution,2011 Population Distribution,2011 Population Distribution,2011 Population Distribution,2011 Population Distribution,2011 Population Distribution,2011 Population Distribution,,,
18%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,by Age and Sex,by Age and Sex,by Age and Sex,,,,,
16%,,,,,,,,,,,,,,,,,,
14%,,,,,,,,,,,,,,,,,,
12%,,,,,,,,,,,,,,,,,,
10%,,,,,,,,,,,,,,,,,,
8%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6%,,,,,,,,,,,,,,,,,,
4%,,,,,,,,,,,,,,,,,,
2%,,,,,,,,,,,,,,,,,,
0%,,,,,,,,,,,,,,,,,,
,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,
,to,to,to,to,to,to,to,to,to,to,to,to,to,to,to,to,to,85+
,4,9,14,19,24,29,34,39,44,49,54,59,64,69,74,79,84,
