Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”,Name: “Table 1 of 1 on page 48 of 70”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,Municipal Facilities,Municipal Facilities,Municipal Facilities,,,,
,Appropriated,FY 2014,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2015,FY 2016,FY 2017,FY 2018,Total,Total
Project Title,,,,,,,,
ADA Compliance-Municipal Facilities,"734,485",-,"25,000","25,000","25,000","25,000","100,000","834,485"
Behavioral Health Building,"7,529,003","990,997",-,-,-,-,"990,997","8,520,000"
Building Preservation - 601 and 1846,-,"400,000",-,-,-,-,"400,000","400,000"
Court,,,,,,,,
Case Management System,-,"104,260",-,-,-,-,"104,260","104,260"
Computer Aided Dispatch System,-,"388,740","388,740",-,-,-,"777,480","777,480"
Crime Analysis System,-,"56,125","56,125",-,-,-,"112,250","112,250"
Harbor Center Pavilion-Facility,"318,930","50,000","50,000","50,000","50,000","50,000","250,000","568,930"
Upgrades,,,,,,,,
HazMat Program,"2,302,939","85,000","85,000","85,000","85,000","85,000","425,000","2,727,939"
HVAC Replacement-1846 Court,-,"900,000",-,-,-,-,"900,000","900,000"
Street,,,,,,,,
Judicial Facilities Improvements,"3,640,000",-,-,-,-,-,-,"3,640,000"
Portsmouth Court Complex(New,"77,700,259","9,048,292",-,-,-,-,"9,048,292","86,748,551"
Judicial Complex),,,,,,,,
Public Safety New Radio System,"3,000,000","4,000,000","4,000,000",-,-,-,"8,000,000","11,000,000"
Renovations to Various Buildings,"2,907,987","225,000","225,000","225,000","225,000","225,000","1,125,000","4,032,987"
Repair of Seawall,"941,158","40,000","40,000","40,000","40,000","40,000","200,000","1,141,158"
Replacement of HVAC,"1,836,052",-,"100,000","100,000","100,000","100,000","400,000","2,236,052"
Revenue,-,"367,917","367,917","367,916",-,-,"1,103,750","1,103,750"
System-Treasurer/Commissioner of,,,,,,,,
Revenue,,,,,,,,
Roof Replacement,"2,528,668",-,"120,000","150,000","150,000","150,000","570,000","3,098,668"
Seawall Reinforcement,"8,570,000",-,"250,000",-,-,-,"250,000","8,820,000"
Total Project Cost,"112,009,481","16,656,331","5,707,782","1,042,916","675,000","675,000","24,757,029","136,766,510"
Debt Funding,,,,,,,,
Future Bond Issuance,"108,160","14,039,289","4,000,000",-,-,-,"18,039,289","18,147,449"
General Obligation Bonds,"67,517,243",-,-,-,-,-,-,"67,517,243"
General Obligation Notes,"25,029,003",-,-,-,-,-,-,"25,029,003"
VML/VaCO Lease Revenue Bonds,"4,500,000",-,-,-,-,-,-,"4,500,000"
Debt Funding Funding,"97,154,406","14,039,289","4,000,000",-,-,-,"18,039,289","115,193,695"
Other Funding,,,,,,,,
Harbor Center Pavilion Ticket Sales,"318,930","50,000","50,000","50,000","50,000","50,000","250,000","568,930"
Other - Federal Funding,"122,000",-,-,-,-,-,-,"122,000"
Other - Local Funding,"165,146",-,-,-,-,-,-,"165,146"
Sale of Property,"2,690,000",-,-,-,-,-,-,"2,690,000"
Other Funding Funding,"3,296,076","50,000","50,000","50,000","50,000","50,000","250,000","3,546,076"
Transfers,,,,,,,,
Trans from Gen Fund to Capital,"4,396,375",-,-,-,-,-,-,"4,396,375"
Reserve - Courts,,,,,,,,
Transfer from General Fund,"7,162,624","2,567,042","1,657,782","992,916","625,000","625,000","6,467,740","13,630,364"
Transfers Funding,"11,558,999","2,567,042","1,657,782","992,916","625,000","625,000","6,467,740","18,026,739"
Total Funding,"112,009,481","16,656,331","5,707,782","1,042,916","675,000","675,000","24,757,029","136,766,510"
Fiscal Year 2014,,,14 - 48,,,,Capital Improvements,Capital Improvements
