Name: “Table 1 of 1 on page 4 of 70”,Name: “Table 1 of 1 on page 4 of 70”,Name: “Table 1 of 1 on page 4 of 70”,Name: “Table 1 of 1 on page 4 of 70”
Table: 4,Table: 4,Table: 4,Table: 4
,,,
,City of Portsmouth,,
,Fiscal Year 2014 Adopted Budget,,
,Capital Improvements,,
,Sewer,,
Project #,Project Title,Page #,
19207,Miscellaneous Improvements - Sewer,14 -,8
19507,Sanitary Sewer Overflow Elimination Program,14 -,9
19307,Sewer Cave-in Repair,14 -,10
19007,Suction Well Rehabilitation,14 -,11
19009,Williams Court Outlet Sewer Rehabilitation,14 -,12
,Water,,
Project #,Project Title,Page #,
20112,Dam Upgrades,14 -,14
21907,Downtown Master Utility Replacement Program,14 -,15
20007,Infrastructure Improvements,14 -,16
20010,Lake Cahoon Raw Water Pump Station and Pipeline,14 -,17
23007,Lake Kilby Replacement Filters 1-10,14 -,18
22007,Low Pressure Transmission Mains,14 -,19
20407,Meter Replacement Program,14 -,20
20707,Miscellaneous Water Work,14 -,21
20207,Replacement of Water Plant Equipment,14 -,22
,Drainage and Street Improvements,,
Project #,Project Title,Page #,
11907,ADA Compliance-Curb Cuts,14 -,24
10110,Alexander's Corner Resignalization,14 -,25
11607,Bridge Repairs,14 -,26
10009,Churchland Bridge,14 -,27
10307,Drainage Facilities Repair and Lake Management,14 -,28
12707,Dredging of Lakes/Ponds,14 -,29
13007,Midtown Corridor,14 -,30
11307,Traffic Signal Improvements,14 -,31
10407,Turnpike Road - ML King Hwy to Portsmouth Boulevard,14 -,32
11311,Update Traffic Signals @ 10 Intersection(HSIP),14 -,33
New0058,Victory blvd/Paradise Cr Bridge Replacement,14 -,34
10209,VPDES Permit Compliance,14 -,35
,Education,,
Project #,Project Title,Page #,
00046,Asbestos Abatement - Olive Branch School,14 -,37
00045,Garage Bay Improvements,14 -,38
00028,School Bus Fleet Replacement,14 -,39
00043,Transfer to General Fund,14 -,40
Fiscal Year 2014,14 - 4,,Capital Improvements
