Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”,Name: “Table 1 of 1 on page 36 of 70”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,,Education,,,,,
,Appropriated,FY 2014,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2015,FY 2016,FY 2017,FY 2018,Total,Total
Project Title,,,,,,,,
Asbestos Abatement - Olive Branch,-,"600,000",-,-,-,-,"600,000","600,000"
School,,,,,,,,
Garage Bay Improvements,-,"600,000",-,-,-,-,"600,000","600,000"
School Bus Fleet Replacement,-,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","5,000,000","5,000,000"
Transfer to General Fund,"560,000","560,000","560,000","1,070,000",-,-,"2,190,000","2,750,000"
Total Project Cost,"560,000","2,760,000","1,560,000","2,070,000","1,000,000","1,000,000","8,390,000","8,950,000"
Education Funding,,,,,,,,
Transfers from Schools(Capital,"560,000","1,760,000","560,000","1,070,000",-,-,"3,390,000","3,950,000"
Reserve Simonsdale School),,,,,,,,
Transfers,,,,,,,,
Transfer from General Fund,-,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","5,000,000","5,000,000"
Total Funding,"560,000","2,760,000","1,560,000","2,070,000","1,000,000","1,000,000","8,390,000","8,950,000"
Fiscal Year 2014,,,14 - 36,,,,Capital Improvements,Capital Improvements
