Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”,Name: “Table 1 of 1 on page 41 of 70”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,,,
,Appropriated,FY 2014,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2015,FY 2016,FY 2017,FY 2018,Total,Total
Project Title,,,,,,,,
City Gateways,"1,134,913","50,000","50,000","50,000","50,000","50,000","250,000","1,384,913"
Holiday Inn Site Redevelopment,"11,325,000",-,-,-,-,-,-,"11,325,000"
Total Project Cost,"12,459,913","50,000","50,000","50,000","50,000","50,000","250,000","12,709,913"
Debt Funding,,,,,,,,
Future Bond Issuance,"224,973",-,-,-,-,-,-,"224,973"
General Obligation Bonds,"9,898,940",-,-,-,-,-,-,"9,898,940"
Debt Funding Funding,"10,123,913",-,-,-,-,-,-,"10,123,913"
Other Funding,,,,,,,,
Sale of Property,"2,336,000",-,-,-,-,-,-,"2,336,000"
Transfers,,,,,,,,
Transfer from General Fund,-,"50,000","50,000","50,000","50,000","50,000","250,000","250,000"
Total Funding,"12,459,913","50,000","50,000","50,000","50,000","50,000","250,000","12,709,913"
Fiscal Year 2014,,,14 - 41,,,,Capital Improvements,Capital Improvements
