Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”,Name: “Table 1 of 1 on page 169 of 179”
Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167
,,,,,,,,,,,
,2007,,2006,,2005,,2004,,2003,,2002
$,"500,502",$,"556,862",$,"398,179",$,"510,268",$,"731,387",$,"943,221"
,"12,994,355",,"15,953,192",,"15,503,657",,"17,620,647",,"11,933,486",,"9,794,702"
,-,,-,,-,,-,,-,,-
,-,,-,,-,,-,,-,,-
,-,,-,,-,,-,,-,,-
,-,,-,,-,,-,,-,,-
$,"13,494,857",$,"16,510,054",$,"15,901,836",$,"18,130,915",$,"12,664,873",$,"10,737,923"
$,"6,150,997",$,-,$,-,$,-,$,-,$,-
,-,,"63,974",,"63,974",,"169,644",,"127,218",,-
,801,,"75,116",,"24,165",,488,,280,,-
,"6,585,325",,"3,847,743",,"4,032,730",,"8,167,302",,"2,445,595",,"3,293,077"
,-,,-,,-,,-,,-,,-
,-,,-,,-,,-,,-,,-
$,"12,737,123",$,"3,986,833",$,"4,120,869",$,"8,337,434",$,"2,573,093",$,"3,293,077"
,,,,,,163,,,,,
