Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”,Name: “Table 1 of 1 on page 170 of 179”
Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168
,,,,,,,,
"COUNTY OF GLOUCESTER, VIRGINIA",,,,,,,,
"Changes in Fund Balances, Governmental Funds",,,,,,,,
Last Ten Fiscal Years,,,,,,,,
(modified accrual basis of accounting),,,,,,,,
,,2011,,2010,,2009,,2008
REVENUES,,,,,,,,
General property taxes,$,"32,277,667",$,"31,916,749",$,"32,090,454",$,"29,677,158"
Other local taxes,,"8,188,114",,"9,727,703",,"9,868,013",,"10,637,789"
"Permits, privilege fees, and regulatory licenses",,"262,490",,"285,060",,"421,907",,"505,444"
Fines and forfeitures,,"87,571",,"120,804",,"94,148",,"111,970"
Revenue from the use of money and property,,"159,151",,"203,980",,"273,362",,"909,595"
Charges for services,,"716,673",,"816,885",,"978,630",,"1,044,733"
Miscellaneous,,"516,200",,"477,007",,"543,271",,"583,074"
Recovered costs,,"306,934",,"360,700",,"413,418",,"300,414"
Intergovernmental revenues:,,,,,,,,
Other local governments,,-,,-,,-,,-
Commonwealth,,"10,517,539",,"9,042,801",,"9,927,995",,"9,467,389"
Federal,,"2,041,209",,"2,628,893",,"2,940,280",,"3,091,324"
Total revenues,$,"55,073,548",$,"55,580,582",$,"57,551,478",$,"56,328,890"
EXPENDITURES,,,,,,,,
Current:,,,,,,,,
General government administration,$,"4,391,984",$,"4,796,836",$,"4,766,294",$,"4,744,278"
Judicial administration,,"1,511,513",,"1,473,565",,"1,619,429",,"1,616,046"
Public safety,,"10,237,522",,"10,430,536",,"10,622,469",,"10,657,869"
Public works,,"1,879,012",,"1,866,165",,"1,873,556",,"1,820,371"
Health and welfare,,"4,487,974",,"4,482,064",,"4,348,208",,"4,001,667"
Education,,"20,969,964",,"20,323,168",,"21,703,289",,"21,561,837"
"Parks, recreation, and cultural",,"1,834,819",,"1,857,339",,"1,970,594",,"2,040,444"
Community development,,"731,327",,"728,581",,"776,991",,"828,242"
Nondepartmental,,"263,170",,"272,035",,"272,035",,"271,250"
Capital projects,,"2,925,484",,"2,698,567",,"19,493,940",,"15,512,754"
Debt service:,,,,,,,,
Principal retirement,,"3,394,093",,"3,385,644",,"3,055,466",,"2,317,442"
Interest and other fiscal charges,,"1,858,998",,"2,012,572",,"2,547,578",,"1,603,656"
Total expenditures,$,"54,485,860",$,"54,327,072",$,"73,049,849",$,"66,975,856"
Excess (deficiency) of revenues over,,,,,,,,
(under) expenditures,$,"587,688",$,"1,253,510",$,"(15,498,371) $","(15,498,371) $","(10,646,966)"
OTHER FINANCING SOURCES (USES),,,,,,,,
Transfers in,$,"6,671,343",$,"6,578,300",$,"7,891,873",$,"6,288,819"
Transfers out,,"(7,171,343)",,"(7,078,300)",,"(8,571,873)",,"(7,088,819)"
Proceeds from general obligation bonds,,-,,-,,-,,"6,364,713"
Proceeds from bond issuance premium,,-,,-,,-,,"343,349"
Proceeds of capital leases,,-,,-,,"11,245,000",,-
Insurance recovery,,"3,793,840",,-,,,,-
Advance refunding of bonds,,-,,-,,-,,-
Refunding of capital lease,,-,,-,,-,,-
Total other financing sources (uses),$,"3,293,840",$,"(500,000) $","(500,000) $","10,565,000",$,"5,908,062"
Net change in fund balances,$,"3,881,528",$,"753,510",$,"(4,933,371) $","(4,933,371) $","(4,738,904)"
Fund balances - beginning,,"17,313,215",,"16,559,705",,"21,493,076",,"26,231,980"
Fund balances - ending,$,"21,194,743",$,"17,313,215",$,"16,559,705",$,"21,493,076"
Debt Service as a percentage,,,,,,,,
of noncapital expenditures,,13.23%,,10.26%,,9.88%,,6.76%
N/A - This information was unavailable.,,,,,,,,
,,164,,,,,,
