Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”
Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169
,,,,,,,,,,,
,2007,,2006,,2005,,2004,,2003,,2002
$,"27,371,520",$,"26,432,859",$,"25,361,237",$,"24,578,024",$,"23,089,347",$,"21,735,807"
,"10,356,066",,"10,234,426",,"10,150,629",,"9,429,641",,"8,190,587",,"7,534,250"
,"561,291",,"442,365",,"358,550",,"325,348",,"367,752",,"301,641"
,"90,068",,"99,699",,"124,446",,"94,788",,"69,936",,"77,277"
,"1,296,199",,"645,911",,"418,748",,"206,686",,"280,952",,"178,440"
,"998,385",,"1,003,058",,"1,025,539",,"961,182",,"1,007,586",,"873,832"
,"719,956",,"853,784",,"213,490",,"1,375,249",,"3,539,593",,"183,417"
,"242,889",,"224,721",,"187,266",,"235,694",,"327,999",,"308,160"
,-,,-,,-,,-,,-,,"65,000"
,"8,822,084",,"8,287,161",,"7,513,836",,"7,561,900",,"7,137,791",,"7,939,865"
,"2,678,290",,"2,743,385",,"2,368,128",,"2,895,075",,"2,026,477",,"2,142,757"
$,"53,136,748",$,"50,967,369",$,"47,721,869",$,"47,663,587",$,"46,038,020",$,"41,340,446"
$,"4,292,566",$,"4,114,209",$,"3,716,011",$,"3,252,076",$,"3,264,643",$,"3,296,403"
,"1,311,561",,"1,256,090",,"1,188,720",,"1,134,736",,"1,072,443",,"1,194,277"
,"10,124,699",,"8,832,107",,"8,495,083",,"8,652,538",,"7,017,379",,"6,851,651"
,"1,717,936",,"1,606,088",,"1,485,546",,"1,453,195",,"1,349,677",,"1,191,479"
,"3,920,276",,"3,685,808",,"3,744,821",,"3,386,685",,"3,296,833",,"2,892,104"
,"20,123,728",,"18,415,298",,"17,195,819",,"16,080,604",,"15,708,844",,"14,858,211"
,"1,879,698",,"1,708,483",,"1,486,361",,"1,242,768",,"1,112,185",,"1,084,547"
,"908,769",,"803,212",,"735,022",,"726,647",,"794,845",,"646,556"
,"242,300",,"199,126",,"165,327",,"1,362,005",,"3,673,350",,"668,639"
,"5,091,488",,"5,173,233",,"10,227,835",,"2,541,164",,"2,880,899",,"7,320,020"
,"2,125,399",,"2,237,523",,"3,041,103",,"2,186,094",,"2,288,399",,"2,637,212"
,"1,430,257",,"2,202,010",,"1,788,567",,"1,682,544",,"1,972,079",,"2,144,126"
$,"53,168,677",$,"50,233,187",$,"53,270,215",$,"43,701,056",$,"44,431,576",$,"44,785,225"
$,"(31,929) $","(31,929) $","734,182",$,"(5,548,346) $","(5,548,346) $","3,962,531",$,"1,606,444",$,"(3,444,779)"
$,"10,171,364",$,"8,122,258",$,"11,187,176",$,"4,629,367",$,"6,033,929",$,"1,684,883"
,"(11,071,364)",,"(9,022,258)",,"(12,084,474)",,"(5,329,367)",,"(6,728,801)",,"(2,184,883)"
,"6,505,000",,-,,-,,"7,525,000",,-,,-
,"162,022",,-,,-,,"442,852",,-,,-
,-,,"8,205,000",,-,,"1,589,921",,-,,"494,255"
,-,,-,,-,,-,,-,,-
,-,,"(7,565,000)",,-,,-,,-,,-
,-,,-,,-,,"(1,589,921)",,-,,-
$,"5,767,022",$,"(260,000) $","(260,000) $","(897,298) $","(897,298) $","7,267,852",$,"(694,872) $","(694,872) $","(5,745)"
$,"5,735,093",$,"474,182",$,"(6,445,644) $","(6,445,644) $","11,230,383",$,"911,572",$,"(3,450,524)"
,"20,496,887",,"20,022,705",,"26,468,349",,"15,237,966",,"14,326,394",,"17,776,918"
$,"26,231,980",$,"20,496,887",$,"20,022,705",$,"26,468,349",$,"15,237,966",$,"14,326,394"
,6.90%,,n/a,,n/a,,n/a,,n/a,,n/a
,,,,,,,165,,,,
