Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”
Table: 9,Table: 9,Table: 9
,,
PUBLIC BUILDINGS,"58,002","87,760"
CONTRIBUTIONS,"390,178","387,772"
PARKS & RECREATION,"7,500","5,000"
NON-DEPARTMENTAL EXPENSES,"35,000","36,000"
DEBT SERVICE,"410,240","398,342"
TOTAL OPERATING EXPENDITURES,"3,527,118","3,880,892"
CAPITAL OUTLAY,"740,826","431,250"
SUB-TOTAL,"4,267,944","4,312,142"
TO INTERFUND DEBT RETIREMENT,"122,935","145,249"
TOTAL,"4,390,879","4,457,391"
ROAD MAINTENANCE,"711,100","930,760"
GRAND TOTAL,"5,101,979","5,388,151"
TOWN OF SMITHFIELD,,
WATER AND SEWER BUDGET,,
,REVENUE,
Budget,,Budget
FY 2003-2004,,FY 2004-2005
Revised,,
SALE OF WATER,"470,000","470,000"
WATER APPLICATION FEES,-,"2,800"
WATER CONNECTION FEES,"79,200","56,100"
WATER PRO-RATA SHARE FEES,"96,000","48,000"
WATER AVAILABILITY FEES,"258,000","182,750"
SEWER CHARGES,"330,000","330,000"
SEWER CONNECTION FEES,"189,600","134,300"
SEWER PRO-RATA SHARE FEES,"96,000","48,000"
SEWER AVAILABILITY FEES,"348,000","246,500"
INTEREST,"30,000","31,000"
OTHER REVENUE,"2,000",-
TOTAL REVENUE,"1,898,800","1,549,450"
FROM SEWER DEVELOPMENT ESCROW,"168,000","185,000"
FROM SEWER OPERATING RESERVES,-,"60,585"
FROM SEWER BOND ESCROW,-,"50,000"
FROM SEWER CAPITAL ESCROW,-,"220,000"
FROM WATER CAPITAL ESCROW,"250,000","366,370"
FROM WATER OPERATING RESERVES,"149,266","100,000"
CASH PROCEEDS FROM SHORT TERM NOTE,"375,000","375,000"
TOTAL,"2,841,066","2,906,405"
