Name: “Table 1 of 1 on page 4 of 10”,Name: “Table 1 of 1 on page 4 of 10”,Name: “Table 1 of 1 on page 4 of 10”
Table: 4,Table: 4,Table: 4
,,
SALE OF WATER,"390,883","480,000"
WATER TAP FEES,"38,500","44,000"
SEWER CHARGES,"320,000","330,000"
CONNECTION FEES,"70,000","100,000"
OFF-SITE IMPROVEMENT,,
IMPACT FEES,"20,000","35,000"
INTEREST,"58,300","27,400"
OTHER REVENUE,"7,000","8,500"
FROM DEVELOPMENT ESCROW RESERVE,"249,491","250,000"
TOTAL,"1,154,174","1,274,900"
,EXPENDITURES,
,Budget,Budget
,FY 2001-2002,FY 2002-2003
OPERATING EXPENSES,"648,539","784,044"
DEBT SERVICE,"183,735","183,200"
CAPITAL OUTLAY,"321,900","290,500"
TO OPERATING RESERVES,-,"17,156"
TOTAL,"1,154,174","1,274,900"
