,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
,Public Safety,
,Business Center Index,
Organizational Chart,8 - 2,
Business Center Summary,8 - 3,
Police Department,8 - 4,
E-911,8 - 5,
"Fire, Rescue And Emergency",8 - 6,
Fiscal Year 2014,8 - 1,Public Safety
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
,Public Safety,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,625,
,Police Department,
,Positions =,348
,E-911,
,Positions =,32
,"Fire, Rescue And Emergency",
,Positions =,245
Fiscal Year 2014,8 - 2,Public Safety
City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Public Safety,Public Safety,Public Safety,,,
Description of Services Provided,,,,,
"This business center includes the departments of Police, E-911, Animal Control and Fire, Rescue and Emergency Services","This business center includes the departments of Police, E-911, Animal Control and Fire, Rescue and Emergency Services","This business center includes the departments of Police, E-911, Animal Control and Fire, Rescue and Emergency Services","This business center includes the departments of Police, E-911, Animal Control and Fire, Rescue and Emergency Services","This business center includes the departments of Police, E-911, Animal Control and Fire, Rescue and Emergency Services",
which addresses citizenry protection. Services include the protection and security of all citizens to include community-policing,which addresses citizenry protection. Services include the protection and security of all citizens to include community-policing,which addresses citizenry protection. Services include the protection and security of all citizens to include community-policing,which addresses citizenry protection. Services include the protection and security of all citizens to include community-policing,which addresses citizenry protection. Services include the protection and security of all citizens to include community-policing,
"efforts, the provision of efficient fire prevention, fire suppression, emergency medical care, hazardous material response and","efforts, the provision of efficient fire prevention, fire suppression, emergency medical care, hazardous material response and","efforts, the provision of efficient fire prevention, fire suppression, emergency medical care, hazardous material response and","efforts, the provision of efficient fire prevention, fire suppression, emergency medical care, hazardous material response and","efforts, the provision of efficient fire prevention, fire suppression, emergency medical care, hazardous material response and",
disaster preparedness services for the citizens of Portsmouth.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Business Units,,Actual,Adopted,Amended,Adopted
E-911,,"1,899,699","2,100,189","2,100,189","2,008,489"
"Fire, Rescue And Emergency",,"26,838,201","26,671,721","26,671,721","27,118,514"
Police Department,,"32,062,060","33,961,284","33,961,284","34,196,570"
,Total Budget,"60,799,959","62,733,194","62,733,194","63,323,573"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"60,799,959","62,733,194","62,733,194","63,323,573"
,Total Funding,"60,799,959","62,733,194","62,733,194","63,323,573"
Fiscal Year 2014,8 - 3,,,,Public Safety
,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,Public Safety,Public Safety,,,
,Police Department,Police Department,,,
Business Unit Mission Statement,,,,,
"The Portsmouth Police Department is dedicated to the protection and security of all people and, in partnership with our","The Portsmouth Police Department is dedicated to the protection and security of all people and, in partnership with our","The Portsmouth Police Department is dedicated to the protection and security of all people and, in partnership with our","The Portsmouth Police Department is dedicated to the protection and security of all people and, in partnership with our","The Portsmouth Police Department is dedicated to the protection and security of all people and, in partnership with our",
"community, to providing quality public safety services while affording dignity and respect to every individual.","community, to providing quality public safety services while affording dignity and respect to every individual.","community, to providing quality public safety services while affording dignity and respect to every individual.","community, to providing quality public safety services while affording dignity and respect to every individual.",,
Description of Services Provided,,,,,
"The Portsmouth Police Department’s authorized personnel strength consists of 263 sworn Police Officers, 25 Auxiliary Police","The Portsmouth Police Department’s authorized personnel strength consists of 263 sworn Police Officers, 25 Auxiliary Police","The Portsmouth Police Department’s authorized personnel strength consists of 263 sworn Police Officers, 25 Auxiliary Police","The Portsmouth Police Department’s authorized personnel strength consists of 263 sworn Police Officers, 25 Auxiliary Police","The Portsmouth Police Department’s authorized personnel strength consists of 263 sworn Police Officers, 25 Auxiliary Police",
Officers and 105 civilian employees who work diligently and conscientiously to provide extraordinary public safety services.,Officers and 105 civilian employees who work diligently and conscientiously to provide extraordinary public safety services.,Officers and 105 civilian employees who work diligently and conscientiously to provide extraordinary public safety services.,Officers and 105 civilian employees who work diligently and conscientiously to provide extraordinary public safety services.,Officers and 105 civilian employees who work diligently and conscientiously to provide extraordinary public safety services.,
"*Answer calls for law enforcement services, respond to reports of criminal and non-criminal incidences, prevent, detect and deter","*Answer calls for law enforcement services, respond to reports of criminal and non-criminal incidences, prevent, detect and deter","*Answer calls for law enforcement services, respond to reports of criminal and non-criminal incidences, prevent, detect and deter","*Answer calls for law enforcement services, respond to reports of criminal and non-criminal incidences, prevent, detect and deter","*Answer calls for law enforcement services, respond to reports of criminal and non-criminal incidences, prevent, detect and deter",
crime. Arrest criminal offenders.,,,,,
"*Maintain records of – personnel, arrest, criminal and non-criminal incidences.","*Maintain records of – personnel, arrest, criminal and non-criminal incidences.",,,,
*Conduct criminal investigations.,,,,,
*Provide for traffic safety.,,,,,
*Provide and coordinate basic training – coordinate all training for new recruits and continued certification. Identify and provide,*Provide and coordinate basic training – coordinate all training for new recruits and continued certification. Identify and provide,*Provide and coordinate basic training – coordinate all training for new recruits and continued certification. Identify and provide,*Provide and coordinate basic training – coordinate all training for new recruits and continued certification. Identify and provide,*Provide and coordinate basic training – coordinate all training for new recruits and continued certification. Identify and provide,
for continued & remedial training needs.,,,,,
*Provide animal control services.,,,,,
*Enforce all local and state ordinances related to animal control and protection.,*Enforce all local and state ordinances related to animal control and protection.,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
,Expenditure Categories,Actual,Adopted,Amended,Adopted
Salaries,,"15,767,384","16,534,418","16,516,418","16,464,445"
Allowances,,"167,061","191,903","191,903","181,300"
Benefits,,"10,688,213","11,682,965","11,682,965","11,856,606"
Other Operating Expenses,,"1,245,519","1,416,914","1,434,914","1,548,861"
Internal Service Charges,,"4,193,883","4,135,084","4,135,084","4,145,358"
,Net Budget,"32,062,060","33,961,284","33,961,284","34,196,570"
,Total Budget,"32,062,060","33,961,284","33,961,284","34,196,570"
,,FY 2012,FY 2013,FY 2013,FY 2014
,Funding Sources,Actual,Adopted,Amended,Adopted
100 General Fund,,"32,062,060","33,961,284","33,961,284","34,196,570"
,Total Funding,"32,062,060","33,961,284","33,961,284","34,196,570"
Strategic Goals,,,,,
*,Public Safety,,,,
*,Community Partnerships,,,,
*,Personnel Development,,,,
*,Resource Management,,,,
*,Technological Advancement,,,,
Outcomes and Accomplishments,,,,,
