Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”,Name: “Table 1 of 1 on page 21 of 157”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,
,,EXPENDITURE SUMMARY BY OBJECT,EXPENDITURE SUMMARY BY OBJECT,EXPENDITURE SUMMARY BY OBJECT,EXPENDITURE SUMMARY BY OBJECT,EXPENDITURE SUMMARY BY OBJECT,EXPENDITURE SUMMARY BY OBJECT,,,
,,,,,,,,Percentage,Percentage,Percentage
,,,,,,,,Increase/,,Of Each
,,,,,FY 2008,,,(Decrease),,Over
,,,FY 2008,,ADOPTED,,Increase/,Over,,Category
EXENDITURE CATEGORY,EXENDITURE CATEGORY,,BUDGET,,BUDGET,,(Decrease),FY 2007,,To Total
(1),Salaries & Wages,$,"9,337,573",$,"9,746,805",$,"409,232",4.4%,,7.1%
(2),Employee Benefits,,"2,757,211",,"2,999,251",,"242,040",8.8%,,2.1%
(3),Professional / Contracted Services,,"4,773,383",,"3,448,048",,"(1,325,335)",-27.8%,,3.6%
(4),Purchased Services,,"4,975,866",,"5,201,690",,"225,824",4.5%,,3.8%
(5),Materials / Supplies,,"911,846",,"880,327",,"(31,519)",-3.5%,,0.7%
(6),Equipment / Vehicles,,"572,120",,"360,650",,"(211,470)",-37.0%,,0.4%
(7),Other,,"107,890,632",,"77,085,600",,"(30,805,032)",-28.6%,,82.2%
,TOTAL,"$ 131,218,631","$ 131,218,631",$,"99,722,371",$,"(31,496,260)",-24.0%,,100.0%
EXPLANATIONS OF INCREASES (DECREASES):,EXPLANATIONS OF INCREASES (DECREASES):,,,,,,,,,
(1),Salaries & Wages,See Next Page,,,(5),Materials / Supplies,Materials / Supplies,,,
(2),Employee Benefits,See Next Page,,,,"Motor, Fuel, Lube Repairs","Motor, Fuel, Lube Repairs","Motor, Fuel, Lube Repairs",$,"7,450"
,,,,,,County Signage (B&G),County Signage (B&G),County Signage (B&G),,"(50,000)"
(3),Professional / Contracted Services,,,,,Uniforms,Uniforms,,,"9,350"
,,,,,,P&R Program Supplies,P&R Program Supplies,P&R Program Supplies,,"(10,283)"
,Reassessment,,"(296,250)",,,Office Supplies,Office Supplies,,,"11,964"
,Transportation Plan,,"(100,000)",,,,,,$,"(31,519)"
,VDOT,,"(1,000,000)",,,,,,,
,WTRJ,,"65,581",,(6),Equipment / Vehicles,Equipment / Vehicles,,,
,Equipment Repairs,,"(15,050)",,,Transfer Switches - Emgcy Genera,Transfer Switches - Emgcy Genera,Transfer Switches - Emgcy Genera,$,"(100,000)"
,Advertising/Marketing,,"3,650",,,Vehicle,Vehicle,,,"(95,000)"
,Videotaping Planning Commission Meetings,,"8,400",,,Miscellaneous Reductions,Miscellaneous Reductions,Miscellaneous Reductions,,"(16,470)"
,Detention Costs,,"8,594",,,,,,,"(211,470)"
,Miscellaneous,,(260),,,,,,,
,,$,"(1,325,335)",,(7),Other,Other,,,
,,,,,,Capital Projects,Capital Projects,,$,"(33,235,000)"
(4),Purchased Services,,,,,Schools - Local Contribution,Schools - Local Contribution,Schools - Local Contribution,,"1,927,942"
,Equipment Rental - Emergency Generators,$,"58,116",,,Schools - State/Federal/Other,Schools - State/Federal/Other,Schools - State/Federal/Other,,"1,612,537"
,Copier Lease,,"6,302",,,Schools - Capital Projects,Schools - Capital Projects,Schools - Capital Projects,,"(2,441,592)"
,Property Rental,,"13,000",,,Public Utilities,Public Utilities,,,"323,096"
,Postage / Telephone,,"9,523",,,IDA,IDA,,,"(30,000)"
,Travel / Training,,"24,350",,,E911 - Local Contribution,E911 - Local Contribution,E911 - Local Contribution,,"2,349"
,Utilities,,"12,500",,,Comprehensive Services Act,Comprehensive Services Act,Comprehensive Services Act,,"306,000"
,Insurance,,"4,750",,,County Fair,County Fair,,,"(4,870)"
,Dues/Subscriptions,,"20,690",,,Section 8,Section 8,,,"9,346"
,Contributions:,,,,,Contingency,Contingency,,,"(9,290)"
,Blackwater Regional Library,,"30,629",,,Debt Service,Debt Service,,,"734,450"
,Early Childhood Council,,"31,250",,,,,,$,"(30,805,032)"
,State/Local Hospitalization,,"2,210",,,,,,,
,Chamber of Commerce Dues,,"(5,500)",,,,,,,
,Electoral Board - Programing Changes,,"10,555",,,,,,,
,Isle Pre-Pay Program,,"17,000",,,,,,,
,Miscellaneous Reductions,,"(9,551)",,,,,,,
,,$,"225,824",,,,,,,
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,
,,,,,,,,,,Page 15
