Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”,Name: “Table 1 of 1 on page 17 of 157”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,
,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,
,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,
,REVENUE AND EXPENDITURE SUMMARY,REVENUE AND EXPENDITURE SUMMARY,REVENUE AND EXPENDITURE SUMMARY,REVENUE AND EXPENDITURE SUMMARY,REVENUE AND EXPENDITURE SUMMARY,REVENUE AND EXPENDITURE SUMMARY,,
,,,,,,,Percentage,Percentage
,,,,,,,Increase/,Of Each
,,,,FY 2009,,,(Decrease),Over
,,FY 2008,,Adopted,,Increase/,Over,Category
,,Budget,,Budget,,(Decrease),FY 2008,To Total
REVENUE:,,,,,,,,
Local Sources,$,"47,050,250",$,"47,949,849",$,"899,599",1.9%,48.1%
State Sources,,"37,996,905",,"39,719,728",,"1,722,823",4.5%,39.8%
Federal Sources,,"5,780,896",,"5,710,662",,"(70,234)",-1.2%,5.7%
Other Funds,,"1,188,988",,"1,380,132",,"191,144",16.1%,1.4%
Bonds,,"32,735,000",,"850,000",,"(31,885,000)",-97.4%,0.9%
Fund Balance,,"6,466,592",,"4,112,000",,"(2,354,592)",-36.4%,4.1%
TOTAL REVENUE,"$ 131,218,631","$ 131,218,631",$,"99,722,371","$ (31,496,260)","$ (31,496,260)",-24.0%,100.0%
EXPENDITURES:,,,,,,,,
General Government,$,"4,593,890",$,"4,538,693",$,"(55,197)",-1.2%,4.6%
Judicial Administration,,"892,360",,"911,383",,"19,023",2.1%,0.9%
Public Safety,,"5,809,151",,"6,014,830",,"205,679",3.5%,6.0%
General Services,,"6,152,116",,"5,222,999",,"(929,117)",-15.1%,5.2%
Health & Welfare,,"5,327,538",,"5,674,753",,"347,215",6.5%,5.7%
Education,,"63,766,179",,"64,865,066",,"1,098,887",1.7%,65.0%
"Parks, Recreation and Cultural",,"2,031,421",,"2,152,252",,"120,831",5.9%,2.2%
Community Development,,"1,842,206",,"1,748,599",,"(93,607)",-5.1%,1.8%
Capital Projects,,"36,635,000",,"3,400,000",,"(33,235,000)",-90.7%,3.4%
Annexation Agreement,,"1,150,000",,"1,150,000",,-,0.0%,1.2%
Debt Service,,"1,036,022",,"1,770,472",,"734,450",70.9%,1.8%
Non Departmental,,"106,350",,"106,350",,-,0.0%,0.1%
Transfers,,"1,376,398",,"1,666,974",,"290,576",21.1%,1.7%
Reserves,,"500,000",,"500,000",,-,0.0%,0.5%
TOTAL EXPENDITURES,"$ 131,218,631","$ 131,218,631",$,"99,722,371","$ (31,496,260)","$ (31,496,260)",-24.0%,100.0%
EXCESS OF REVENUES (DEFICIENCY),,,,,,,,
OVER EXPENDITURES,$,-,$,-,$,-,,
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,
,,,,,,,,Page 11
