Name: “Table 1 of 1 on page 34 of 157”,Name: “Table 1 of 1 on page 34 of 157”,Name: “Table 1 of 1 on page 34 of 157”,Name: “Table 1 of 1 on page 34 of 157”,Name: “Table 1 of 1 on page 34 of 157”,Name: “Table 1 of 1 on page 34 of 157”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,
,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,
,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,
,"""ONE CENT EQUALS""","""ONE CENT EQUALS""","""ONE CENT EQUALS""",,
TAX,ADOPTED,ADOPTED,ADOPTED,,ONE CENT
TYPE,TAX RATE,REVENUE,REVENUE,,EQUALS
Real Estate,$0.52 / 100,"$ 20,744,000","$ 20,744,000",$,"398,923"
Personal Property,$4.40 / 100,$,"7,100,000",$,"16,136"
Machinery & Tools,$0.95 / 100,$,"7,000,000",$,"73,684"
Boats / Airplanes,$1.00 / 100,$,"200,000",$,"2,000"
Mobile Home,$0.52 / 100,$,"100,000",$,"1,923"
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,
,,,,,Page 28
